experiment,model,language,condition,n,ties,tie_rate,boundaries,boundary_rate
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1000,22,0.022,66,0.066
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1000,23,0.023,67,0.067
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1000,28,0.028,60,0.06
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1000,24,0.024,52,0.052
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1000,21,0.021,77,0.077
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1000,17,0.017,76,0.076
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1000,33,0.033,79,0.079
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,1000,28,0.028,58,0.058
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,1000,25,0.025,83,0.083
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,1000,18,0.018,77,0.077
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,1000,30,0.03,75,0.075
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,1000,21,0.021,64,0.064
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,1000,33,0.033,82,0.082
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,1000,26,0.026,57,0.057
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap80__lnon,1000,22,0.022,68,0.068
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap60__lnon,1000,17,0.017,68,0.068
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap80__lnon,1000,26,0.026,80,0.08
