language,condition,count,median,mean,min,max
cuda,gaussian_sigma_1,120,0.9208128409187335,0.9197299997316821,0.8673728759894112,0.9828581645283928
cuda,gaussian_sigma_2,120,0.793842896084574,0.789174363908106,0.6526663377613661,0.9556070980209368
cuda,gaussian_sigma_4,120,0.7168032381244183,0.7082871027297272,0.5243443879222832,0.9370469270955993
java,gaussian_sigma_1,313,0.9286801863588763,0.9294205144996732,0.8590995836741749,0.9785436331361614
java,gaussian_sigma_2,313,0.8133506368202973,0.8148365605583697,0.630913781834914,0.9432825736411594
java,gaussian_sigma_4,313,0.741611202257039,0.7443032647871132,0.48879960512431325,0.918695142619559
python,gaussian_sigma_1,119,0.9293758372538762,0.9261583971566084,0.8658341713831708,0.9650658630645403
python,gaussian_sigma_2,119,0.8143172981773986,0.8068133062761214,0.6506113151609342,0.9072344224915022
python,gaussian_sigma_4,119,0.7453646988597701,0.7342797936072876,0.5227313875569773,0.869848374364454
