rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_027,cuda,gaussian_sigma_1,0.9149442179645741
dorn_cuda_027,cuda,gaussian_sigma_2,0.7798385732671926
dorn_cuda_027,cuda,gaussian_sigma_4,0.6991124077989848
dorn_cuda_028,cuda,gaussian_sigma_1,0.924756194898885
dorn_cuda_028,cuda,gaussian_sigma_2,0.8054240394950399
dorn_cuda_028,cuda,gaussian_sigma_4,0.7324501199110812
dorn_cuda_029,cuda,gaussian_sigma_1,0.9561246462251591
dorn_cuda_029,cuda,gaussian_sigma_2,0.8867036307010986
dorn_cuda_029,cuda,gaussian_sigma_4,0.8402785072407694
dorn_cuda_030,cuda,gaussian_sigma_1,0.8944388282837319
dorn_cuda_030,cuda,gaussian_sigma_2,0.7237234124488373
dorn_cuda_030,cuda,gaussian_sigma_4,0.6190368422618471
dorn_cuda_031,cuda,gaussian_sigma_1,0.9453483812352106
dorn_cuda_031,cuda,gaussian_sigma_2,0.8547549459972658
dorn_cuda_031,cuda,gaussian_sigma_4,0.7987214775903375
dorn_cuda_032,cuda,gaussian_sigma_1,0.875535640927755
dorn_cuda_032,cuda,gaussian_sigma_2,0.6675412325022833
dorn_cuda_032,cuda,gaussian_sigma_4,0.5485804147776592
dorn_cuda_033,cuda,gaussian_sigma_1,0.9044272793884968
dorn_cuda_033,cuda,gaussian_sigma_2,0.748860047029379
dorn_cuda_033,cuda,gaussian_sigma_4,0.6524760133683093
dorn_cuda_034,cuda,gaussian_sigma_1,0.8921036523734595
dorn_cuda_034,cuda,gaussian_sigma_2,0.7172792496194319
dorn_cuda_034,cuda,gaussian_sigma_4,0.6101989069221472
dorn_cuda_035,cuda,gaussian_sigma_1,0.9657652121097073
dorn_cuda_035,cuda,gaussian_sigma_2,0.9110905483324973
dorn_cuda_035,cuda,gaussian_sigma_4,0.8803170982210567
dorn_cuda_036,cuda,gaussian_sigma_1,0.9167897204550757
dorn_cuda_036,cuda,gaussian_sigma_2,0.7830988170558126
dorn_cuda_036,cuda,gaussian_sigma_4,0.7000642933480595
dorn_cuda_037,cuda,gaussian_sigma_1,0.9370501299297289
dorn_cuda_037,cuda,gaussian_sigma_2,0.8350615097233612
dorn_cuda_037,cuda,gaussian_sigma_4,0.7720627878971351
dorn_cuda_038,cuda,gaussian_sigma_1,0.9053956414493857
dorn_cuda_038,cuda,gaussian_sigma_2,0.7409416816702636
dorn_cuda_038,cuda,gaussian_sigma_4,0.6449339342686486
dorn_cuda_039,cuda,gaussian_sigma_1,0.9388448764641396
dorn_cuda_039,cuda,gaussian_sigma_2,0.83840397654332
dorn_cuda_039,cuda,gaussian_sigma_4,0.7748195424156514
dorn_cuda_040,cuda,gaussian_sigma_1,0.9466770121385316
dorn_cuda_040,cuda,gaussian_sigma_2,0.8559907407439858
dorn_cuda_040,cuda,gaussian_sigma_4,0.8054517527304151
dorn_cuda_041,cuda,gaussian_sigma_1,0.9506659802316199
dorn_cuda_041,cuda,gaussian_sigma_2,0.8699640421584839
dorn_cuda_041,cuda,gaussian_sigma_4,0.8181216450521728
dorn_cuda_042,cuda,gaussian_sigma_1,0.9280847689137749
dorn_cuda_042,cuda,gaussian_sigma_2,0.8113870600031886
dorn_cuda_042,cuda,gaussian_sigma_4,0.7368088434448724
dorn_cuda_043,cuda,gaussian_sigma_1,0.8876267968519023
dorn_cuda_043,cuda,gaussian_sigma_2,0.7000317716101369
dorn_cuda_043,cuda,gaussian_sigma_4,0.5887286169644814
dorn_cuda_044,cuda,gaussian_sigma_1,0.958375833983064
dorn_cuda_044,cuda,gaussian_sigma_2,0.8922508545159363
dorn_cuda_044,cuda,gaussian_sigma_4,0.847696273045242
dorn_cuda_045,cuda,gaussian_sigma_1,0.884625171050241
dorn_cuda_045,cuda,gaussian_sigma_2,0.6682081388176421
dorn_cuda_045,cuda,gaussian_sigma_4,0.5439584768443753
dorn_cuda_046,cuda,gaussian_sigma_1,0.9372170225349957
dorn_cuda_046,cuda,gaussian_sigma_2,0.8335412895321938
dorn_cuda_046,cuda,gaussian_sigma_4,0.7658592787641348
dorn_cuda_047,cuda,gaussian_sigma_1,0.8824242202875339
dorn_cuda_047,cuda,gaussian_sigma_2,0.6909025932990739
dorn_cuda_047,cuda,gaussian_sigma_4,0.574232245946559
dorn_cuda_048,cuda,gaussian_sigma_1,0.9374030505150691
dorn_cuda_048,cuda,gaussian_sigma_2,0.8382803134609768
dorn_cuda_048,cuda,gaussian_sigma_4,0.7739261955842102
dorn_cuda_049,cuda,gaussian_sigma_1,0.9030637495621372
dorn_cuda_049,cuda,gaussian_sigma_2,0.7435814455331777
dorn_cuda_049,cuda,gaussian_sigma_4,0.648731210906354
dorn_cuda_050,cuda,gaussian_sigma_1,0.9033157221508894
dorn_cuda_050,cuda,gaussian_sigma_2,0.75465165380932
dorn_cuda_050,cuda,gaussian_sigma_4,0.6717712224855158
dorn_cuda_051,cuda,gaussian_sigma_1,0.9156074542020131
dorn_cuda_051,cuda,gaussian_sigma_2,0.7796234099456694
dorn_cuda_051,cuda,gaussian_sigma_4,0.6933661531799918
dorn_cuda_052,cuda,gaussian_sigma_1,0.9421213662655369
dorn_cuda_052,cuda,gaussian_sigma_2,0.8485707360673023
dorn_cuda_052,cuda,gaussian_sigma_4,0.7886628362752294
dorn_cuda_053,cuda,gaussian_sigma_1,0.9161927231831305
dorn_cuda_053,cuda,gaussian_sigma_2,0.7708422890146224
dorn_cuda_053,cuda,gaussian_sigma_4,0.6799694267473938
dorn_cuda_054,cuda,gaussian_sigma_1,0.9566438621380979
dorn_cuda_054,cuda,gaussian_sigma_2,0.885342789654707
dorn_cuda_054,cuda,gaussian_sigma_4,0.8403074408740183
dorn_cuda_055,cuda,gaussian_sigma_1,0.9270868187960611
dorn_cuda_055,cuda,gaussian_sigma_2,0.8102875387363732
dorn_cuda_055,cuda,gaussian_sigma_4,0.7310080479066262
dorn_cuda_056,cuda,gaussian_sigma_1,0.909140271122259
