judge,within_valid_acc,within_e,within_s,mixed_valid_acc,mixed_e,mixed_s
Qwen2.5-VL-7B,63.951120162932796,31.274900398406373,51.09561752988048,62.349206349206355,32.733333333333334,47.5
Qwen3-VL-8B,62.53602305475504,43.22709163346614,30.87649402390438,62.20767072029935,44.333333333333336,28.733333333333334
Gemma-3-12B,66.20603015075378,52.49003984063745,20.717131474103585,62.535904800984824,50.8,18.76666666666667
Gemma4-12B,64.83001172332943,55.079681274900395,15.0398406374502,61.892097264437695,54.300000000000004,12.266666666666666
InternVL3.5-8B,61.36701337295691,41.13545816733068,32.96812749003984,60.27197668771248,41.36666666666667,31.366666666666664
Multilayer Perceptron (Best Baseline),63.94422310756972,63.94422310756972,0.0,63.16666666666667,63.16666666666667,0.0
