judge,E_str,D_str,S_str,E,E_lo,E_hi,D,D_lo,D_hi,S,S_lo,S_hi
Qwen2.5-VL-7B,"38.59 [34.63, 42.41]","64.16 [60.79, 67.37]","45.78 [41.73, 49.98]",38.58888888888889,34.6274487761543,42.41348643169346,64.15555555555555,60.79077878948429,67.37265271515312,45.77777777777778,41.728686679280145,49.97516500848466
Qwen3-VL-8B,"44.50 [41.08, 47.86]","59.91 [56.67, 63.17]","28.40 [25.49, 31.59]",44.5,41.082222091074414,47.85699522487776,59.91111111111111,56.66736082461852,63.16788863444345,28.4,25.493987826499893,31.58977431298624
Gemma-3-12B,"50.36 [46.78, 53.72]","62.01 [58.63, 65.13]","21.79 [19.24, 24.50]",50.355555555555554,46.7750683015849,53.718956079815186,62.011111111111106,58.63370736870112,65.13053073449687,21.788888888888888,19.241686981833446,24.4953910067788
Gemma4-12B,"56.88 [53.36, 60.20]","64.62 [61.34, 67.78]","14.91 [13.21, 16.78]",56.87777777777778,53.364673335738246,60.20143008923748,64.62222222222222,61.34260755407508,67.77648693340687,14.911111111111111,13.209927954450718,16.78260482539339
InternVL3.5-8B,"43.94 [40.39, 47.41]","62.30 [59.07, 65.47]","33.10 [29.78, 36.71]",43.94444444444445,40.392844666865074,47.41238880775848,62.3,59.07455022416168,65.46936680693327,33.1,29.7801642900282,36.7063841381623
InternVL3-8B,"24.73 [21.72, 27.94]","51.00 [47.52, 54.50]","49.93 [45.46, 54.28]",24.73333333333333,21.720557582417737,27.937571930072718,51.0,47.517404376461926,54.495742590033004,49.93333333333334,45.45655014273318,54.28139924337502
Ministral-3-8B,"36.74 [33.49, 40.08]","54.30 [50.90, 57.72]","33.29 [29.88, 36.92]",36.74444444444445,33.49335002917117,40.08106957204184,54.300000000000004,50.90227570104629,57.723781136945405,33.28888888888889,29.882076617700093,36.91789796618086
Phi-4-multimodal,"31.23 [28.46, 34.12]","37.83 [34.80, 40.97]","30.39 [27.97, 32.87]",31.233333333333334,28.455712181128405,34.11830606538558,37.833333333333336,34.803418496122276,40.972195607614985,30.388888888888886,27.974642302435292,32.87389194466158
