model,modality,ga0,full_calls,status,reason
Qwen/Qwen2.5-VL-7B-Instruct,image_only,PASS,3600,complete,
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,PASS,3600,complete,
OpenGVLab/InternVL3-8B,image_only,PASS,3600,complete,
OpenGVLab/InternVL3-8B,text_plus_image,FAIL twice,0,blocked_by_gate,same deterministic malformed verdict; each 100-call pilot had 1 parse failure and 1 argmax mismatch
