model,language,score_stratum,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
OpenGVLab/InternVL3-8B,cuda,high,semantic_and_visual_aligned,golden,beautiful_trash,33,24,9,24,0,0.7272727272727273,1.0,0.8620237953250198,1.0,0.7272727272727273,0.2727272727272727,0.1506744088542064,0.44217559002872625,1.1920928955078125e-07,33,31,0.9393939393939394,1.6875,0.9375,4.76837158203125e-07
OpenGVLab/InternVL3-8B,cuda,high,semantic_and_visual_aligned,golden,ugly_trash,33,30,3,30,0,0.9090909090909091,1.0,0.8864866068260312,0.9999999999999999,0.9090909090909091,0.09090909090909091,0.03140394152458165,0.2357260564646973,1.862645149230957e-09,33,31,0.9393939393939394,3.0,0.8125,1.1175870895385742e-08
OpenGVLab/InternVL3-8B,cuda,high,semantic_only_under_ugly,ugly_gold,ugly_trash,33,30,3,29,0,0.9090909090909091,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.8787878787878788,0.09090909090909091,0.03140394152458165,0.2357260564646973,5.774199962615967e-08,33,32,0.9696969696969697,2.6875,0.625,2.8870999813079834e-07
OpenGVLab/InternVL3-8B,cuda,high,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,23,10,23,0,0.696969696969697,1.0,0.8568833815495731,1.0,0.696969696969697,0.30303030303030304,0.17375531424053606,0.47338135145800575,2.384185791015625e-07,32,31,0.96875,1.4375,0.875,7.152557373046875e-07
OpenGVLab/InternVL3-8B,cuda,high,visual_only_gold,golden,ugly_gold,33,10,23,10,0,0.30303030303030304,1.0,0.7224672001371107,0.9999999999999999,0.30303030303030304,0.696969696969697,0.5266186485419944,0.8262446857594641,0.001953125,30,25,0.8333333333333334,0.375,0.5,0.001953125
OpenGVLab/InternVL3-8B,cuda,high,visual_only_trash,beautiful_trash,ugly_trash,33,23,10,22,0,0.696969696969697,0.9565217391304348,0.7900884492974114,0.9922833338565469,0.6666666666666666,0.30303030303030304,0.17375531424053606,0.47338135145800575,5.7220458984375e-06,32,30,0.9375,0.6875,0.3125,1.1444091796875e-05
OpenGVLab/InternVL3-8B,cuda,low,semantic_and_visual_aligned,golden,beautiful_trash,34,30,4,30,0,0.8823529411764706,1.0,0.8864866068260312,0.9999999999999999,0.8823529411764706,0.11764705882352941,0.04671446664882335,0.26620842770371833,1.862645149230957e-09,34,34,1.0,1.65625,0.8125,7.450580596923828e-09
OpenGVLab/InternVL3-8B,cuda,low,semantic_and_visual_aligned,golden,ugly_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,2.65625,0.75,6.984919309616089e-10
OpenGVLab/InternVL3-8B,cuda,low,semantic_only_under_ugly,ugly_gold,ugly_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,2.21875,0.625,6.984919309616089e-10
OpenGVLab/InternVL3-8B,cuda,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,34,24,10,24,0,0.7058823529411765,1.0,0.8620237953250198,1.0,0.7058823529411765,0.29411764705882354,0.1683463067042242,0.4616890979471443,1.1920928955078125e-07,34,34,1.0,1.28125,0.75,3.5762786865234375e-07
OpenGVLab/InternVL3-8B,cuda,low,visual_only_gold,golden,ugly_gold,34,19,15,17,0,0.5588235294117647,0.8947368421052632,0.6860591728889099,0.9706414397011299,0.5,0.4411764705882353,0.2888348224624216,0.6054610074379694,0.000728607177734375,34,31,0.9117647058823529,0.375,0.28125,0.000728607177734375
OpenGVLab/InternVL3-8B,cuda,low,visual_only_trash,beautiful_trash,ugly_trash,34,22,12,21,0,0.6470588235294118,0.9545454545454546,0.7820195416134267,0.991930572378736,0.6176470588235294,0.35294117647058826,0.21487920594879492,0.5208603688021826,1.0967254638671875e-05,34,30,0.8823529411764706,0.5625,0.5,2.193450927734375e-05
OpenGVLab/InternVL3-8B,cuda,mid,semantic_and_visual_aligned,golden,beautiful_trash,33,26,7,26,0,0.7878787878787878,1.0,0.8712710781407846,1.0,0.7878787878787878,0.21212121212121213,0.10676021533020799,0.3775164499215069,2.9802322387695312e-08,33,33,1.0,1.5625,1.125,1.1920928955078125e-07
OpenGVLab/InternVL3-8B,cuda,mid,semantic_and_visual_aligned,golden,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,2.5625,0.75,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,cuda,mid,semantic_only_under_ugly,ugly_gold,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,2.4375,0.75,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,cuda,mid,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,19,14,19,0,0.5757575757575758,1.0,0.8318207759473837,1.0,0.5757575757575758,0.42424242424242425,0.2723559663341021,0.5919273666268755,3.814697265625e-06,32,31,0.96875,1.25,0.6875,7.62939453125e-06
OpenGVLab/InternVL3-8B,cuda,mid,visual_only_gold,golden,ugly_gold,33,16,17,16,0,0.48484848484848486,1.0,0.8063923194655637,1.0000000000000002,0.48484848484848486,0.5151515151515151,0.3521837544891414,0.674959578918663,3.0517578125e-05,32,31,0.96875,0.4375,0.4375,3.0517578125e-05
OpenGVLab/InternVL3-8B,cuda,mid,visual_only_trash,beautiful_trash,ugly_trash,33,26,7,25,0,0.7878787878787878,0.9615384615384616,0.8110722109696524,0.9931780150064564,0.7575757575757576,0.21212121212121213,0.10676021533020799,0.3775164499215069,8.046627044677734e-07,33,31,0.9393939393939394,0.6875,0.3125,2.4139881134033203e-06
OpenGVLab/InternVL3-8B,java,high,semantic_and_visual_aligned,golden,beautiful_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,2.25,0.4375,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,java,high,semantic_and_visual_aligned,golden,ugly_trash,33,33,0,33,0,1.0,1.0,0.895730002457548,1.0,1.0,0.0,0.0,0.10426999754245206,2.3283064365386963e-10,33,33,1.0,3.125,0.4375,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,java,high,semantic_only_under_ugly,ugly_gold,ugly_trash,33,32,1,32,0,0.9696969696969697,1.0,0.8928208017449293,1.0,0.9696969696969697,0.030303030303030304,0.00536941053687183,0.1531872538211892,4.656612873077393e-10,33,33,1.0,2.625,0.375,1.862645149230957e-09
OpenGVLab/InternVL3-8B,java,high,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,33,27,6,25,0,0.8181818181818182,0.9259259259259259,0.7663040731697686,0.9794453459390113,0.7575757575757576,0.18181818181818182,0.08610768208940667,0.3438823163466992,5.647540092468262e-06,33,30,0.9090909090909091,1.6875,0.5,1.1295080184936523e-05
OpenGVLab/InternVL3-8B,java,high,visual_only_gold,golden,ugly_gold,33,26,7,25,0,0.7878787878787878,0.9615384615384616,0.8110722109696524,0.9931780150064564,0.7575757575757576,0.21212121212121213,0.10676021533020799,0.3775164499215069,8.046627044677734e-07,33,27,0.8181818181818182,0.75,0.3125,2.4139881134033203e-06
OpenGVLab/InternVL3-8B,java,high,visual_only_trash,beautiful_trash,ugly_trash,33,15,18,15,0,0.45454545454545453,1.0,0.7961166989641515,1.0,0.45454545454545453,0.5454545454545454,0.37985938536217456,0.7015706148612388,6.103515625e-05,33,28,0.8484848484848485,0.75,0.875,6.103515625e-05
OpenGVLab/InternVL3-8B,java,low,semantic_and_visual_aligned,golden,beautiful_trash,34,33,1,33,0,0.9705882352941176,1.0,0.895730002457548,1.0,0.9705882352941176,0.029411764705882353,0.0052109062762689395,0.1491557329268593,2.3283064365386963e-10,34,34,1.0,2.3125,0.5625,9.313225746154785e-10
OpenGVLab/InternVL3-8B,java,low,semantic_and_visual_aligned,golden,ugly_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,3.375,0.59375,6.984919309616089e-10
OpenGVLab/InternVL3-8B,java,low,semantic_only_under_ugly,ugly_gold,ugly_trash,34,34,0,34,0,1.0,1.0,0.8984854458466761,0.9999999999999999,1.0,0.0,0.0,0.10151455415332376,1.1641532182693481e-10,34,34,1.0,2.71875,0.59375,6.984919309616089e-10
OpenGVLab/InternVL3-8B,java,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,34,32,2,32,0,0.9411764705882353,1.0,0.8928208017449293,1.0,0.9411764705882353,0.058823529411764705,0.016282655210122746,0.19093606904280996,4.656612873077393e-10,34,34,1.0,1.6875,0.3125,1.3969838619232178e-09
OpenGVLab/InternVL3-8B,java,low,visual_only_gold,golden,ugly_gold,34,20,14,19,0,0.5882352941176471,0.95,0.763868806553258,0.9911185511992047,0.5588235294117647,0.4117647058823529,0.2636596836387115,0.5777840612118749,4.00543212890625e-05,34,26,0.7647058823529411,0.5,0.375,8.0108642578125e-05
OpenGVLab/InternVL3-8B,java,low,visual_only_trash,beautiful_trash,ugly_trash,34,13,21,13,0,0.38235294117647056,1.0,0.7719046276458016,0.9999999999999999,0.38235294117647056,0.6176470588235294,0.450410173444307,0.7609981667549109,0.000244140625,33,32,0.9696969696969697,0.75,1.03125,0.000244140625
OpenGVLab/InternVL3-8B,java,mid,semantic_and_visual_aligned,golden,beautiful_trash,33,31,2,31,0,0.9393939393939394,1.0,0.889744604539564,1.0,0.9393939393939394,0.06060606060606061,0.016780883087191875,0.1960624480864781,9.313225746154785e-10,33,33,1.0,2.25,0.625,2.7939677238464355e-09
