model,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias
OpenGVLab/InternVL3-8B,1800,1485,315,1464,0,0.825,0.9858585858585859,0.9784777779716622,0.9907322016745217,0.8133333333333334,0.175,0.1581439039691698,0.19324033532815935,0.0,1788,1719,0.9614093959731543,1.625,0.5625
Qwen/Qwen2.5-VL-7B-Instruct,1800,1340,460,1338,0,0.7444444444444445,0.9985074626865672,0.9945742959460361,0.9995905969665732,0.7433333333333333,0.25555555555555554,0.2359410648758236,0.27621118348456075,0.0,1797,1770,0.9849749582637729,2.6875,0.875
