model,language,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias
OpenGVLab/InternVL3-8B,cuda,600,456,144,450,0,0.76,0.9868421052631579,0.971594130964805,0.9939560417809908,0.75,0.24,0.20754964195057238,0.275758442576552,1.3160368062977856e-124,593,569,0.9595278246205734,1.3125,0.625
OpenGVLab/InternVL3-8B,java,600,498,102,491,0,0.83,0.9859437751004017,0.9712731726560482,0.9931748447265316,0.8183333333333334,0.17,0.1420653251248132,0.2021333975442293,3.581653224123124e-135,599,570,0.9515859766277128,1.75,0.5625
OpenGVLab/InternVL3-8B,python,600,531,69,523,0,0.885,0.9849340866290018,0.9705556339667948,0.992346533594329,0.8716666666666667,0.115,0.0918863722244461,0.14301213755610348,4.295335836610657e-143,596,580,0.9731543624161074,1.84375,0.5625
Qwen/Qwen2.5-VL-7B-Instruct,cuda,600,411,189,411,0,0.685,1.0,0.9907399351269889,0.9999999999999999,0.685,0.315,0.279108313899091,0.3532455154759783,3.7818280418450374e-124,599,589,0.9833055091819699,2.25,0.9375
Qwen/Qwen2.5-VL-7B-Instruct,java,600,466,134,464,0,0.7766666666666666,0.9957081545064378,0.9844881842547792,0.998822231049191,0.7733333333333333,0.22333333333333333,0.19182825353148128,0.25835855436276645,1.142164898463422e-135,598,586,0.979933110367893,3.125,0.625
Qwen/Qwen2.5-VL-7B-Instruct,python,600,463,137,463,0,0.7716666666666666,1.0,0.9917713845929663,1.0000000000000002,0.7716666666666666,0.22833333333333333,0.19653696364484088,0.26358622723926983,8.397345134458861e-140,600,595,0.9916666666666667,2.875,1.0625
