judge,E,E_lo,E_hi,D,D_lo,D_hi,S,S_lo,S_hi
Qwen2.5-VL-7B,0.3858888888888889,0.346274487761543,0.42413486431693453,0.6415555555555555,0.6079077878948429,0.6737265271515313,0.4577777777777778,0.41728686679280147,0.4997516500848466
Qwen3-VL-8B,0.445,0.4108222209107441,0.4785699522487776,0.5991111111111111,0.5666736082461852,0.6316788863444345,0.284,0.2549398782649989,0.3158977431298624
Gemma-3-12B,0.5035555555555555,0.46775068301584904,0.5371895607981518,0.6201111111111111,0.5863370736870112,0.6513053073449687,0.21788888888888888,0.19241686981833447,0.244953910067788
Gemma4-12B,0.5687777777777778,0.5336467333573824,0.6020143008923748,0.6462222222222223,0.6134260755407508,0.6777648693340688,0.1491111111111111,0.13209927954450718,0.16782604825393388
InternVL3.5-8B,0.43944444444444447,0.40392844666865074,0.4741238880775848,0.623,0.5907455022416168,0.6546936680693326,0.331,0.297801642900282,0.367063841381623
InternVL3-8B,0.24733333333333332,0.21720557582417735,0.2793757193007272,0.51,0.47517404376461925,0.54495742590033,0.49933333333333335,0.45456550142733176,0.5428139924337502
Ministral-3-8B,0.36744444444444446,0.3349335002917117,0.4008106957204184,0.543,0.509022757010463,0.5772378113694541,0.3328888888888889,0.29882076617700093,0.36917897966180857
Phi-4-multimodal,0.31233333333333335,0.28455712181128406,0.34118306065385584,0.37833333333333335,0.34803418496122274,0.40972195607614986,0.3038888888888889,0.27974642302435293,0.3287389194466158
