experiment,model,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
grid,OpenGVLab/InternVL3-8B,friendly_light__fs20__wrap60__lnon,3000,1116,575,0.372,0.5152329749103942,0.19166666666666668,0.628,0.0,0.17797949316558398,0.20614246354836707,0.4859096318566217,0.5444518088028493,0.04324211982840137,0.14884363972878242,0.524,0.032,0.9375,0.625
grid,OpenGVLab/InternVL3-8B,friendly_light__fs20__wrap80__lnon,3000,1358,681,0.45266666666666666,0.5014727540500736,0.227,0.5473333333333333,0.0,0.21236504236543718,0.2423332090385908,0.47491319401427107,0.5280240054475986,0.010727211163277642,0.6928751021757054,0.514,0.03166666666666667,0.6875,0.625
grid,OpenGVLab/InternVL3-8B,friendly_light__fs24__wrap60__lnon,3000,1213,621,0.4043333333333333,0.5119538334707338,0.207,0.5956666666666667,0.0,0.19288109376752982,0.22186831158551118,0.48383090821446634,0.5400012843770857,0.041942041895264896,0.1443175356734029,0.52,0.029666666666666668,0.875,0.625
grid,OpenGVLab/InternVL3-8B,friendly_light__fs24__wrap80__lnon,3000,1382,716,0.46066666666666667,0.5180897250361794,0.23866666666666667,0.5393333333333333,0.0,0.2237534215632767,0.25424832337049363,0.49173219610164204,0.5443469669813764,0.032500689877708884,0.22725992382558727,0.5143333333333333,0.029,0.75,0.625
grid,OpenGVLab/InternVL3-8B,mono_light__fs20__wrap60__lnon,3000,1155,598,0.385,0.5177489177489177,0.19933333333333333,0.615,0.0,0.18542618092246332,0.2140095001110327,0.4889205234418913,0.5464596398133342,0.05838763220030909,0.04727092765017162,0.5266666666666666,0.026333333333333334,0.8125,0.5625
grid,OpenGVLab/InternVL3-8B,mono_light__fs20__wrap80__lnon,3000,1437,738,0.479,0.5135699373695198,0.246,0.521,0.0,0.23091990985744434,0.26172974529502124,0.48772599179302295,0.5393415247343826,0.03301931581791043,0.21095603694002535,0.5116666666666667,0.030666666666666665,0.625,0.625
grid,OpenGVLab/InternVL3-8B,mono_light__fs24__wrap60__lnon,3000,1209,636,0.403,0.5260545905707196,0.212,0.597,0.0,0.1977472618301436,0.22698935503564413,0.49787069592341765,0.554073438688585,0.06210384607567861,0.030831274209979706,0.525,0.028,0.8125,0.625
grid,OpenGVLab/InternVL3-8B,mono_light__fs24__wrap80__lnon,3000,1426,766,0.47533333333333333,0.5371669004207573,0.25533333333333336,0.5246666666666666,0.0,0.2400495611040719,0.2712428888721876,0.5112221846561419,0.5629119085652329,0.08169671753441189,0.0020183273252026416,0.5216666666666666,0.029,0.625,0.625
grid,OpenGVLab/InternVL3-8B,monokai_dark__fs20__wrap60__lnon,3000,1201,601,0.4003333333333333,0.5004163197335554,0.20033333333333334,0.5996666666666667,0.0,0.18639810198621942,0.21503502134982594,0.47218225463553226,0.5286477300837675,0.0032834255921325183,0.9094990779162507,0.5263333333333333,0.027666666666666666,0.9375,0.6875
grid,OpenGVLab/InternVL3-8B,monokai_dark__fs20__wrap80__lnon,3000,1396,667,0.4653333333333333,0.4777936962750716,0.22233333333333333,0.5346666666666666,0.0,0.20781426822470964,0.23756258576742137,0.4516878054693188,0.5040214645988559,-0.0454700442163744,0.08945915644735128,0.5056666666666667,0.031,0.75,0.6875
grid,OpenGVLab/InternVL3-8B,monokai_dark__fs24__wrap60__lnon,3000,1213,603,0.4043333333333333,0.4971145919208574,0.201,0.5956666666666667,0.0,0.18704612668944987,0.21571862484829507,0.46903097462482685,0.5252164271634193,-0.013901506339093503,0.6286073505527716,0.5183333333333333,0.027666666666666666,0.9375,0.6875
grid,OpenGVLab/InternVL3-8B,monokai_dark__fs24__wrap80__lnon,3000,1433,720,0.4776666666666667,0.5024424284717376,0.24,0.5223333333333333,0.0,0.22505596427468758,0.25560903706248195,0.4765830440146792,0.5282887530489615,0.006627523115636125,0.8020703261677591,0.5166666666666667,0.024333333333333332,0.75,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,friendly_light__fs20__wrap60__lnon,3000,1455,1077,0.485,0.7402061855670103,0.359,0.515,0.0,0.3420245634086391,0.3763360719319027,0.7170620718412762,0.762085265090772,0.5221495779561696,1.4555105686458905e-102,0.642,0.022333333333333334,0.8125,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,friendly_light__fs20__wrap80__lnon,3000,1489,1084,0.49633333333333335,0.7280053727333781,0.36133333333333334,0.5036666666666667,0.0,0.34433063917398693,0.37869069487250345,0.7048380636795362,0.7499992507506192,0.506219661378878,1.0300672382085535e-97,0.6486666666666666,0.023666666666666666,0.75,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,friendly_light__fs24__wrap60__lnon,3000,1509,1086,0.503,0.7196819085487077,0.362,0.497,0.0,0.3449895985739189,0.379363363674271,0.696483945071032,0.7417642243814554,0.4831743695227593,4.225087824168996e-89,0.6446666666666667,0.022,0.8125,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,friendly_light__fs24__wrap80__lnon,3000,1755,1241,0.585,0.7071225071225071,0.4136666666666667,0.41500000000000004,0.0,0.39616479006844973,0.4313893578114566,0.6853974008091741,0.7279428672144457,0.4656851410717664,3.6304238392660086e-95,0.6476666666666666,0.02266666666666667,0.625,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,mono_light__fs20__wrap60__lnon,3000,1434,1063,0.478,0.7412831241283124,0.35433333333333333,0.522,0.0,0.33741373469154323,0.37162550323710175,0.7179934531674795,0.7632835302960331,0.51716775529269,6.723917456035351e-99,0.647,0.019666666666666666,0.8125,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,mono_light__fs20__wrap80__lnon,3000,1459,1076,0.48633333333333334,0.7374914324880055,0.3586666666666667,0.5136666666666667,0.0,0.3416951599125653,0.37599966132712687,0.7143115832193597,0.7594239646907187,0.5224038020449552,5.890877374293289e-103,0.6506666666666666,0.025666666666666667,0.8125,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,mono_light__fs24__wrap60__lnon,3000,1418,1028,0.4726666666666667,0.7249647390691114,0.3426666666666667,0.5273333333333333,0.0,0.3258944716020518,0.3598412727968508,0.7011389843107094,0.7475748972841985,0.4922114526531208,2.1311932579541785e-87,0.6343333333333333,0.024,0.875,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,mono_light__fs24__wrap80__lnon,3000,1741,1231,0.5803333333333334,0.7070649052268811,0.4103333333333333,0.41966666666666663,0.0,0.3928570044669718,0.4280390024044366,0.6852498583886494,0.7279682001089466,0.4570780705109343,1.3282106168420313e-90,0.6406666666666667,0.022333333333333334,0.625,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,monokai_dark__fs20__wrap60__lnon,3000,1610,1151,0.5366666666666666,0.7149068322981367,0.38366666666666666,0.4633333333333334,0.0,0.3664250085134015,0.40120587029002436,0.6923633382076054,0.7364272324012792,0.4746352761286997,3.1221271411226036e-91,0.6413333333333333,0.022,0.6875,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,monokai_dark__fs20__wrap80__lnon,3000,1571,1140,0.5236666666666666,0.7256524506683641,0.38,0.4763333333333334,0.0,0.36279488154145845,0.3975120421526198,0.7030585530360319,0.7471454951422073,0.4984546335600562,1.9560254904416186e-99,0.647,0.026333333333333334,0.6875,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,monokai_dark__fs24__wrap60__lnon,3000,1602,1138,0.534,0.7103620474406991,0.37933333333333336,0.46599999999999997,0.0,0.3621349710520436,0.3968403244403351,0.6876678653598494,0.7320497825423136,0.4703394738014058,5.736290477768921e-89,0.646,0.020666666666666667,0.75,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,monokai_dark__fs24__wrap80__lnon,3000,1894,1347,0.6313333333333333,0.7111932418162619,0.449,0.3686666666666667,0.0,0.4312778620202516,0.4668525805497317,0.6903713564646741,0.7311601662459293,0.47176036845985986,1.4484786947853235e-105,0.6533333333333333,0.027666666666666666,0.5,0.6875
perturbation,OpenGVLab/InternVL3-8B,baseline,3000,1396,667,0.4653333333333333,0.4777936962750716,0.22233333333333333,0.5346666666666666,0.0,0.20781426822470964,0.23756258576742137,0.4516878054693188,0.5040214645988559,-0.0454700442163744,0.08945915644735128,0.5056666666666667,0.031,0.75,0.6875
perturbation,OpenGVLab/InternVL3-8B,gaussian_sigma_1,3000,1480,750,0.49333333333333335,0.5067567567567568,0.25,0.5066666666666666,0.0,0.2348314472082136,0.2658079771544493,0.48130115747189695,0.5321773714377181,0.02474259520840976,0.3414987957656701,0.5193333333333333,0.029333333333333333,0.625,0.625
perturbation,OpenGVLab/InternVL3-8B,gaussian_sigma_2,3000,1733,901,0.5776666666666667,0.5199076745527986,0.30033333333333334,0.42233333333333334,0.0,0.28419374453972296,0.31698360905125716,0.49636762604637186,0.5433596614671647,0.04791841741953488,0.04609553901047976,0.5196666666666667,0.035,0.4375,0.5625
perturbation,OpenGVLab/InternVL3-8B,gaussian_sigma_4,3000,1860,1075,0.62,0.5779569892473119,0.35833333333333334,0.38,0.0,0.3413657654076742,0.3756632417311681,0.5553739795763456,0.600218653384771,0.1929771809400935,4.615191850016602e-17,0.545,0.021,0.625,0.8125
perturbation,OpenGVLab/InternVL3-8B,no_blank_lines,3000,1548,762,0.516,0.49224806201550386,0.254,0.484,0.0,0.23874474312598443,0.269884450446876,0.46739343931881283,0.5171410633112183,-0.013332290658521326,0.6001716957013494,0.504,0.036333333333333336,0.625,0.625
perturbation,OpenGVLab/InternVL3-8B,no_indent,3000,1582,759,0.5273333333333333,0.4797724399494311,0.253,0.4726666666666667,0.0,0.23776625580491645,0.26886549546539457,0.455232861116661,0.5044100151342894,-0.033994247443292894,0.17656048122771917,0.5096666666666667,0.023666666666666666,0.6875,0.75
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,baseline,3000,1571,1140,0.5236666666666666,0.7256524506683641,0.38,0.4763333333333334,0.0,0.36279488154145845,0.3975120421526198,0.7030585530360319,0.7471454951422073,0.4984546335600562,1.9560254904416186e-99,0.647,0.026333333333333334,0.6875,0.6875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,gaussian_sigma_1,3000,1546,1142,0.5153333333333333,0.7386804657179818,0.38066666666666665,0.4846666666666667,0.0,0.36345482672833823,0.39818372516743955,0.7162073491162769,0.7599703888063872,0.5269788814955482,3.2500846608418312e-111,0.6416666666666667,0.030666666666666665,0.6875,0.625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,gaussian_sigma_2,3000,1534,1105,0.5113333333333333,0.7203389830508474,0.36833333333333335,0.4886666666666667,0.0,0.351251489861949,0.3857519403023869,0.6973493836714987,0.7422277886843539,0.48621462141918687,7.848149200396595e-92,0.635,0.024666666666666667,0.75,0.625
