run_id,model_key,model,language,n_pairs,valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,content_ties,boundary_pairs_abs_c_eq_abs_b,debiased_main_tie_incorrect,debiased_excluding_ties,debiased_excluding_ties_n,debiased_tie_half_credit,ab_only_accuracy,rf_name,rf_accuracy,language_best_name,language_best_accuracy,bootstrap_reps,bootstrap_cluster,baseline_predictions,diff_vs_rf,diff_vs_rf_ci_low,diff_vs_rf_ci_high,mcnemar_vlm_only_correct_vs_rf,mcnemar_rf_only_correct,mcnemar_exact_p_vs_rf,diff_vs_language_best,diff_vs_language_best_ci_low,diff_vs_language_best_ci_high,mcnemar_vlm_only_correct_vs_language_best,mcnemar_language_best_only_correct,mcnemar_exact_p_vs_language_best,mcnemar_holm_p_vs_rf,mcnemar_holm_reject_vs_rf,mcnemar_holm_p_vs_language_best,mcnemar_holm_reject_vs_language_best
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,cuda,3000,2467,0.652614511552493,0.5366666666666666,0.17766666666666667,9,36,0.6293333333333333,0.6312270143764627,2991,0.6308333333333334,0.6303333333333333,random_forest_regressor,0.7336666666666667,svr,0.758,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.10433333333333339,-0.17457667418938835,-0.03290294376824367,530,843,2.7541760492243828e-17,-0.1286666666666667,-0.19764327797672648,-0.05962564001425283,454,840,4.1155728822777004e-27,4.1312640738365744e-16,True,7.40803118809986e-26,True
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,java,3000,2437,0.6253590480098482,0.508,0.18766666666666668,18,31,0.6076666666666667,0.6113346747149564,2982,0.6106666666666667,0.5933333333333334,random_forest_regressor,0.6233333333333333,Multilayer Perceptron,0.6316666666666667,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.015666666666666607,-0.06307853085992413,0.030173904273897482,477,524,0.14593085587530513,-0.02400000000000002,-0.07866321191957587,0.029248620986658837,598,670,0.046122676198187065,0.29186171175061026,False,0.2306133809909353,False
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,python,3000,2135,0.6548009367681499,0.466,0.28833333333333333,24,42,0.6233333333333333,0.6283602150537635,2976,0.6273333333333333,0.592,random_forest_regressor,0.6273333333333333,Voting ensemble (LR+NB+RF),0.646,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.0040000000000000036,-0.10073378930361646,0.09055353060706119,667,679,0.7643223291248794,-0.022666666666666724,-0.11969629011732112,0.07147520657247924,608,676,0.061471213184624285,0.7643223291248794,False,0.2306133809909353,False
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,cuda,3000,1290,0.5449612403100775,0.23433333333333334,0.57,80,236,0.5576666666666666,0.572945205479452,2920,0.571,0.5366666666666666,random_forest_regressor,0.7336666666666667,svr,0.758,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.17600000000000005,-0.2518117432923148,-0.0972673310385669,505,1033,5.668750490430078e-42,-0.20033333333333336,-0.2709765070047768,-0.12658599402466997,400,1001,1.1290533811881924e-59,1.2471251078946171e-40,True,2.7097281148516617e-58,True
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,java,3000,1922,0.46878251821019773,0.30033333333333334,0.35933333333333334,72,249,0.46266666666666667,0.47404371584699456,2928,0.4746666666666667,0.489,random_forest_regressor,0.6233333333333333,Multilayer Perceptron,0.6316666666666667,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.16066666666666662,-0.2245415914095204,-0.09657986356054754,634,1116,5.7156801738710775e-31,-0.16900000000000004,-0.2322283465888117,-0.10522758325627615,572,1079,3.80952135390807e-36,1.0859792330355047e-29,True,7.999994843206947e-35,True
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,python,3000,1294,0.4806800618238022,0.20733333333333334,0.5686666666666667,75,268,0.5096666666666667,0.5227350427350428,2925,0.5221666666666667,0.49866666666666665,random_forest_regressor,0.6273333333333333,Voting ensemble (LR+NB+RF),0.646,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.11766666666666659,-0.22432791253633896,-0.010504824624237432,720,1073,7.455212142907385e-17,-0.1363333333333333,-0.24207740403342795,-0.028588344825579728,662,1071,7.097086274735059e-23,1.043729700007034e-15,True,1.20650466670496e-21,True
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,3000,1914,0.58098223615465,0.37066666666666664,0.362,12,28,0.5646666666666667,0.5669344042838019,2988,0.5666666666666667,0.559,random_forest_regressor,0.7336666666666667,svr,0.758,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.16900000000000004,-0.2449822520059266,-0.09234851901692945,573,1080,4.206432875742302e-36,-0.19333333333333336,-0.262729688076655,-0.12104705837690091,430,1010,5.066390551452915e-54,8.412865751484605e-35,True,1.1652698268341704e-52,True
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,3000,2164,0.5397412199630314,0.3893333333333333,0.2786666666666667,12,32,0.54,0.5421686746987951,2988,0.542,0.5513333333333333,random_forest_regressor,0.6233333333333333,Multilayer Perceptron,0.6316666666666667,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.08333333333333326,-0.14458256719277568,-0.021857838194725233,681,931,5.168478519236834e-10,-0.09166666666666667,-0.15448903689716084,-0.02925550679745313,649,924,4.334236240162451e-12,5.1684785192368344e-09,True,4.767659864178696e-11,True
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,3000,1926,0.5332294911734164,0.3423333333333333,0.358,11,28,0.5243333333333333,0.5262629642020743,2989,0.5261666666666667,0.49733333333333335,random_forest_regressor,0.6273333333333333,Voting ensemble (LR+NB+RF),0.646,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.10299999999999998,-0.21325494355681268,0.0058192607663613725,694,1003,6.524641216493864e-14,-0.1216666666666667,-0.23184920225256075,-0.011970082957210545,653,1018,3.893472687273276e-19,7.829569459792636e-13,True,6.229556299637242e-18,True
rq1_model_battery_3lang_20260723,phi,microsoft/Phi-4-multimodal-instruct,cuda,3000,2130,0.45117370892018777,0.32033333333333336,0.29,514,1367,0.37833333333333335,0.4565567176186645,2486,0.464,0.4703333333333333,random_forest_regressor,0.7336666666666667,svr,0.758,10000,two-way snippet multiplicity,"out-of-fold, same source pair IDs",-0.35533333333333333,-0.4331064500073397,-0.27568776219032826,423,1489,1.0992611607127202e-138,-0.37966666666666665,-0.45170611350664736,-0.3050944276359674,329,1468,2.2793649055768903e-171,3.1878573660668885e-137,True,6.83809471673067e-170,True
