run_id,system,row,language,n,n_valid,n_valid_correct,E,V,S,D_main,D_excl,D_half,AB_only,ties,boundaries,ocrml_E,diff_vs_ocrml,ci_lo,ci_hi,d_only_correct,ocrml_only_correct,mcnemar_p,holm_p,category
deploy_v2_logit_20260731,direct_qwen_image_only,Direct Qwen image-only,java,3000,1867,1160,0.38666666666666666,0.6213176218532405,0.3776666666666667,0.5716666666666667,0.5873287671232876,0.585,0.5763333333333334,80,232,0.5296666666666666,0.04200000000000004,-0.021937410940195794,0.1065409364469555,768,642,0.0008656978618198551,0.004328489309099275,b
deploy_v2_logit_20260731,direct_qwen_image_only,Direct Qwen image-only,python,3000,1473,1058,0.3526666666666667,0.7182620502376104,0.509,0.6306666666666667,0.6508427932576539,0.6461666666666667,0.6236666666666667,93,199,0.5953333333333334,0.03533333333333333,-0.05908770152706944,0.12757590961998458,756,650,0.0050883519041757955,0.015265055712527387,b
deploy_v2_logit_20260731,direct_qwen_image_only,Direct Qwen image-only,cuda,3000,2098,1499,0.49966666666666665,0.7144899904671115,0.30066666666666664,0.6556666666666666,0.6688201292077525,0.6655,0.6533333333333333,59,243,0.6073333333333333,0.04833333333333334,-0.026431061367464554,0.12220780453738356,738,593,7.793083639445778e-05,0.00046758501836674667,b
deploy_v2_logit_20260731,source_text_qwen_coder,Source-text Qwen2.5-Coder,java,3000,1796,999,0.333,0.5562360801781737,0.4013333333333333,0.525,0.5431034482758621,0.5416666666666666,0.5373333333333333,100,289,0.5296666666666666,-0.004666666666666597,-0.06714097703103164,0.05697008208325338,717,731,0.7326406253024133,0.7326406253024133,a
deploy_v2_logit_20260731,source_text_qwen_coder,Source-text Qwen2.5-Coder,python,3000,1362,782,0.26066666666666666,0.5741556534508077,0.546,0.5323333333333333,0.5527864312911042,0.5508333333333333,0.5143333333333333,111,290,0.5953333333333334,-0.06300000000000006,-0.15435898145509733,0.030249781028600067,599,788,4.293136286254488e-07,3.0051954003781416e-06,a
deploy_v2_logit_20260731,source_text_qwen_coder,Source-text Qwen2.5-Coder,cuda,3000,1724,996,0.332,0.5777262180974478,0.42533333333333334,0.5403333333333333,0.5538093611206013,0.5525,0.548,73,290,0.6073333333333333,-0.06699999999999995,-0.1453591644706773,0.007410644248149781,568,769,4.2617026665970184e-08,3.8355323999373166e-07,a
deploy_v2_logit_20260731,rapidocr_text_qwen_coder,RapidOCR-text Qwen2.5-Coder,java,3000,1530,854,0.2846666666666667,0.5581699346405229,0.49,0.501,0.5335463258785943,0.5315,0.5113333333333333,183,441,0.5296666666666666,-0.028666666666666618,-0.08464217149761431,0.024696598056395364,650,736,0.022386575327179064,0.04477315065435813,a
deploy_v2_logit_20260731,rapidocr_text_qwen_coder,RapidOCR-text Qwen2.5-Coder,python,3000,472,296,0.09866666666666667,0.6271186440677966,0.8426666666666667,0.556,0.5914893617021276,0.586,0.5103333333333333,180,189,0.5953333333333334,-0.03933333333333333,-0.1302374605818359,0.050603849019725304,672,790,0.002203069126179287,0.008812276504717147,a
deploy_v2_logit_20260731,rapidocr_text_qwen_coder,RapidOCR-text Qwen2.5-Coder,cuda,3000,1075,647,0.21566666666666667,0.6018604651162791,0.6416666666666666,0.5433333333333333,0.5705285264263213,0.5671666666666667,0.5346666666666666,143,322,0.6073333333333333,-0.06399999999999995,-0.13232141056240967,0.001292541433650126,543,735,8.676524532340231e-08,6.941219625872185e-07,a
