run_id,language,row,n,E,V,S,D_main,D_excl,D_half,AB_only,ties,boundaries
deploy_v2_logit_20260731,cuda,Direct Qwen image-only,3000,0.49966666666666665,0.7144899904671115,0.30066666666666664,0.6556666666666666,0.6688201292077525,0.6655,0.6533333333333333,59,243
deploy_v2_logit_20260731,cuda,RapidOCR + best ML (supervised),3000,0.6073333333333333,0.6073333333333333,0.0,,,,0.6073333333333333,0,0
deploy_v2_logit_20260731,cuda,RapidOCR-text Qwen2.5-Coder,3000,0.21566666666666667,0.6018604651162791,0.6416666666666666,0.5433333333333333,0.5705285264263213,0.5671666666666667,0.5346666666666666,143,322
deploy_v2_logit_20260731,cuda,Source-text Qwen2.5-Coder,3000,0.332,0.5777262180974478,0.42533333333333334,0.5403333333333333,0.5538093611206013,0.5525,0.548,73,290
deploy_v2_logit_20260731,java,Direct Qwen image-only,3000,0.38666666666666666,0.6213176218532405,0.3776666666666667,0.5716666666666667,0.5873287671232876,0.585,0.5763333333333334,80,232
deploy_v2_logit_20260731,java,RapidOCR + best ML (supervised),3000,0.5296666666666666,0.5296666666666666,0.0,,,,0.5296666666666666,0,0
deploy_v2_logit_20260731,java,RapidOCR-text Qwen2.5-Coder,3000,0.2846666666666667,0.5581699346405229,0.49,0.501,0.5335463258785943,0.5315,0.5113333333333333,183,441
deploy_v2_logit_20260731,java,Source-text Qwen2.5-Coder,3000,0.333,0.5562360801781737,0.4013333333333333,0.525,0.5431034482758621,0.5416666666666666,0.5373333333333333,100,289
deploy_v2_logit_20260731,python,Direct Qwen image-only,3000,0.3526666666666667,0.7182620502376104,0.509,0.6306666666666667,0.6508427932576539,0.6461666666666667,0.6236666666666667,93,199
deploy_v2_logit_20260731,python,RapidOCR + best ML (supervised),3000,0.5953333333333334,0.5953333333333334,0.0,,,,0.5953333333333334,0,0
deploy_v2_logit_20260731,python,RapidOCR-text Qwen2.5-Coder,3000,0.09866666666666667,0.6271186440677966,0.8426666666666667,0.556,0.5914893617021276,0.586,0.5103333333333333,180,189
deploy_v2_logit_20260731,python,Source-text Qwen2.5-Coder,3000,0.26066666666666666,0.5741556534508077,0.546,0.5323333333333333,0.5527864312911042,0.5508333333333333,0.5143333333333333,111,290
