condition,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,input_tokens,output_tokens,estimated_cost_usd,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy
image_only,gpt-5.4,300,249,151,0.5033333333333333,0.606425702811245,0.17000000000000004,0.0,612114,5400,3.2225699999999997,100,0.58,0.7073170731707317,100,0.48,0.5853658536585366,100,0.45,0.5294117647058824
text_plus_image,gpt-5.4,300,220,148,0.49333333333333335,0.6727272727272727,0.2666666666666667,0.0,758688,5400,3.95544,100,0.58,0.8285714285714286,100,0.44,0.5789473684210527,100,0.46,0.6216216216216216
combined_labeled_image_only,gpt-5.4,300,259,159,0.53,0.6138996138996139,0.13666666666666671,0.0,967646,5400,5.00023,100,0.58,0.6904761904761905,100,0.53,0.6091954022988506,100,0.48,0.5454545454545454
combined_labeled_text_plus_image,gpt-5.4,300,234,155,0.5166666666666667,0.6623931623931624,0.21999999999999997,0.0,1114220,5400,5.7331,100,0.62,0.7848101265822784,100,0.49,0.6125,100,0.44,0.5866666666666667
