model,language,conditions,median_strict_swap_error,mean_strict_swap_error,min_strict_swap_error,max_strict_swap_error,repeat_run_status
OpenGVLab/InternVL3-8B,cuda,12,0.693,0.6936666666666667,0.654,0.744,not measurable: no same-condition repeated full run; no new calls made
OpenGVLab/InternVL3-8B,java,12,0.41400000000000003,0.41408333333333336,0.322,0.505,not measurable: no same-condition repeated full run; no new calls made
OpenGVLab/InternVL3-8B,python,12,0.5994999999999999,0.5973333333333334,0.543,0.637,not measurable: no same-condition repeated full run; no new calls made
Qwen/Qwen2.5-VL-7B-Instruct,cuda,12,0.3865,0.39349999999999996,0.297,0.47,not measurable: no same-condition repeated full run; no new calls made
Qwen/Qwen2.5-VL-7B-Instruct,java,12,0.493,0.47925,0.365,0.54,not measurable: no same-condition repeated full run; no new calls made
Qwen/Qwen2.5-VL-7B-Instruct,python,12,0.5705,0.5491666666666667,0.444,0.606,not measurable: no same-condition repeated full run; no new calls made
