display_model,java,python,cuda
Multilayer Perceptron,0.2979114591209522,0.2913073512329609,0.441364132333056
Random Forest,0.2926554333667295,0.29222519430072896,0.524662241319005
Gradient Boosting,0.27415175795386776,0.2824552052816028,0.5233666170665384
SVR,0.26606329392823835,0.22588198775805882,0.576142821384844
Voting (LR+NB+RF),0.24854149194376468,0.32586588939725347,0.4871082310782245
Linear Regression,0.22364896923641495,0.27740912264349266,0.5293504403375091
Scalabrino-LR (replicated),0.20518263608693854,0.32472378035261057,0.4207664738933163
Logistic Regression,0.20203707481372357,0.3237921405201057,0.4197896330909595
Naive Bayes,0.14112170831787607,0.31692641986216125,0.35133460624205026
