run_family,system,language,n,valid_pairs,E,V,S,D_main,D_excl,D_half,AB_only,BA_only,first_position_choice_rate,ties,boundaries,ocrml_E,ocrml_model,diff_vs_ocrml,ci_lo,ci_hi,qwen_only_correct,ocrml_only_correct,mcnemar_p,holm_p,category
latest_vlm_extension_20260830,Direct Qwen3-VL-8B image-only,java,3000,2140,0.4216666666666667,0.5911214953271028,0.2866666666666666,0.5783333333333334,0.5810448760884126,0.5806666666666667,0.5803333333333334,0.5496666666666666,0.443,14,69,0.5296666666666666,svr,0.04866666666666675,-0.013615718397394437,0.1107056239290304,766,620,9.693344253061914e-05,0.0002908003275918574,b
latest_vlm_extension_20260830,Direct Qwen3-VL-8B image-only,python,3000,2145,0.444,0.620979020979021,0.28500000000000003,0.587,0.5893574297188755,0.589,0.584,0.589,0.43216666666666664,12,47,0.5953333333333334,gradient_boosting_regressor,-0.008333333333333415,-0.11006116177211893,0.09113504380662392,800,825,0.5516115523543742,0.8780910731904108,a
latest_vlm_extension_20260830,Direct Qwen3-VL-8B image-only,cuda,3000,2115,0.43533333333333335,0.6174940898345154,0.29500000000000004,0.597,0.5983962579351821,0.5981666666666666,0.588,0.5776666666666667,0.39116666666666666,7,38,0.6073333333333333,linear_regression,-0.010333333333333306,-0.09798297398629437,0.07717975710343786,736,767,0.4390455365952054,0.8780910731904108,a
