run,scope,model_key,model,language,difficulty,n_pairs,n_calls,first_position_choices,first_position_rate,pair_cluster_bootstrap_ci_low,pair_cluster_bootstrap_ci_high,bootstrap_reps
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,hard,1000,2000,1261,0.6305,0.613,0.648,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,cuda,medium,1000,2000,1246,0.623,0.6064875000000001,0.6395,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,easy,1000,2000,1090,0.545,0.529,0.561,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,hard,1000,2000,1107,0.5535,0.5375,0.569,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,medium,1000,2000,1109,0.5545,0.5385,0.571,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,easy,1000,2000,1331,0.6655,0.6495,0.682,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,hard,1000,2000,1253,0.6265,0.6105,0.6425,10000
rq1_model_battery_3lang_20260723,language_difficulty,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,python,medium,1000,2000,1296,0.648,0.632,0.664,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,cuda,easy,1000,2000,1179,0.5895,0.574,0.605,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,cuda,hard,1000,2000,1093,0.5465,0.5295,0.5635,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,cuda,medium,1000,2000,1126,0.563,0.547,0.579,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,java,easy,1000,2000,1264,0.632,0.6165,0.647,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,java,hard,1000,2000,1232,0.616,0.6005,0.6315,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,java,medium,1000,2000,1260,0.63,0.615,0.6455,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,python,easy,1000,2000,1256,0.628,0.6125,0.644,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,python,hard,1000,2000,1245,0.6225,0.607,0.638,10000
rq1_model_battery_3lang_20260723,language_difficulty,phi,microsoft/Phi-4-multimodal-instruct,python,medium,1000,2000,1250,0.625,0.6095,0.641,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,easy,1000,2000,730,0.365,0.3505,0.379,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,hard,1000,2000,608,0.304,0.2884875,0.3195,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,cuda,medium,1000,2000,584,0.292,0.2765,0.308,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,easy,1000,2000,558,0.279,0.263,0.295,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,hard,1000,2000,537,0.2685,0.2525,0.2845,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,java,medium,1000,2000,524,0.262,0.246,0.278,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,easy,1000,2000,607,0.3035,0.2875,0.319,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,hard,1000,2000,396,0.198,0.1835,0.2135,10000
rq1_model_battery_3lang_20260723,language_difficulty,qwen,Qwen/Qwen2.5-VL-7B-Instruct,python,medium,1000,2000,472,0.236,0.2205,0.252,10000
