model_key,model,ga0_gate_pass,capability_evidence_languages,operational_evidence_languages,direct_failure_evidence_languages,qualification_class
qwen,Qwen/Qwen2.5-VL-7B-Instruct,True,1,0,0,intermediate
internvl,OpenGVLab/InternVL3-8B,True,0,0,1,intermediate
phi,microsoft/Phi-4-multimodal-instruct,True,0,0,0,intermediate
gemma,google/gemma-3-12b-it,True,1,1,0,intermediate
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,True,1,0,0,intermediate
