run_id,model,language,n,valid_n,correct_n,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,packaging,modality
clean_full_factorial_20260703,Qwen/Qwen2.5-VL-7B-Instruct,java,3000,2075,1242,0.5985542168674699,0.414,0.30833333333333335,0.0,combined_labeled,text_plus_image
E5B_internvl_combined_text_plus_image_20260730,OpenGVLab/InternVL3-8B,java,3000,1884,1029,0.5461783439490446,0.343,0.372,0.0,combined_labeled,text_plus_image
