run,model_key,model,scope,language,n_pairs,bootstrap_reps_requested,c_ties_conservative_failures,rho_decile_valid_accuracy,rho_decile_effective_accuracy,rho_decile_debiased_accuracy,rho_decile_valid_accuracy_non_tie,rho_decile_effective_accuracy_non_tie,rho_decile_debiased_accuracy_non_tie,top_minus_bottom_valid_accuracy,valid_difference_ci_low,valid_difference_ci_high,valid_bootstrap_reps_used,top_minus_bottom_effective_accuracy,effective_difference_ci_low,effective_difference_ci_high,effective_bootstrap_reps_used,top_minus_bottom_debiased_accuracy,debiased_difference_ci_low,debiased_difference_ci_high,debiased_bootstrap_reps_used,top_minus_bottom_effective_accuracy_non_tie,effective_non_tie_difference_ci_low,effective_non_tie_difference_ci_high,effective_non_tie_bootstrap_reps_used,top_minus_bottom_debiased_accuracy_non_tie,debiased_non_tie_difference_ci_low,debiased_non_tie_difference_ci_high,debiased_non_tie_bootstrap_reps_used,calibration_target,calibration_train_pairs,calibration_test_pairs,calibration_cross_pairs_excluded,calibration_train_unique_snippets,calibration_test_unique_snippets,calibration_snippet_overlap,isotonic_ece_10_equal_frequency_bins,isotonic_auroc,raw_abs_c_auroc
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,overall,all,9000,10000,51,0.9515151515151514,0.9878787878787878,0.9665698144513026,0.9515151515151514,0.9878787878787878,0.9665698144513026,0.2031491997934951,-0.020322959759419973,0.4280900352195425,10000,0.7046128524199384,0.6252155491256509,0.7773010140623405,10000,0.23949657335017094,0.14913285483877273,0.3273667109856319,10000,0.7025045930036369,0.6185462193752155,0.7751763427524292,10000,0.21088448127179327,0.11700673191892037,0.3005162190417948,10000,debiased_correct; c=0 is incorrect,2260,2245,4495,275,277,0,0.038329415190682614,0.5831057259455592,0.5896419706340191
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,cuda,3000,10000,9,0.9515151515151514,0.9999999999999999,0.9636363636363635,0.9515151515151514,0.9999999999999999,0.9636363636363635,0.3516865079365079,-0.003903088735732214,0.6893020930682164,10000,0.7671000417710944,0.6478372700949462,0.8681425384116017,10000,0.34980680868838765,0.20285966198404579,0.48256120409486186,10000,0.7653885646346735,0.6435601641972578,0.8662535140729476,10000,0.33348194984868135,0.18499506945855862,0.470507951805009,10000,debiased_correct; c=0 is incorrect,743,759,1498,60,60,0,0.050900058036623765,0.6394055637331431,0.6410039103736414
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,java,3000,10000,18,0.9151515151515152,0.9999999999999999,0.9636363636363635,0.9151515151515152,0.9999999999999999,0.9393939393939393,0.09565807327001352,-0.25199175527753953,0.4812385835701399,10000,0.6417395779722079,0.5285737113554915,0.748605866843959,10000,0.17967061245496652,0.033593223487950984,0.3229241564225875,10000,0.6387730465320456,0.5217631638707771,0.7460958901523419,10000,0.14612598770851626,-0.0048891473793049,0.29076322304659513,10000,debiased_correct; c=0 is incorrect,761,731,1508,156,157,0,0.08469943288706255,0.5774269812343003,0.5842691556256053
rq1_model_battery_3lang_20260723,gemma,google/gemma-3-12b-it,language,python,3000,10000,24,0.8787878787878788,0.9272727272727272,0.9272727272727272,0.8787878787878788,0.9272727272727272,0.9151515151515152,0.14509803921568631,-0.29387507580351724,0.6429519774011299,9993,0.7220211161387632,0.5128921175203301,0.8831615609646282,10000,0.22202111613876319,0.0014854225285847271,0.39893982966715,10000,0.72050787528126,0.5060861914357658,0.8839465466865212,10000,0.18772099003535847,-0.03258261169178945,0.3692321786558033,10000,debiased_correct; c=0 is incorrect,756,755,1489,59,60,0,0.09734745705167112,0.550369799025403,0.5370231538882961
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,overall,all,9000,10000,227,-0.05454545454545454,0.9636363636363635,-0.18787878787878787,-0.05454545454545454,0.9636363636363635,-0.3939393939393939,-0.030114942528735644,-0.292570857560971,0.2270641257793788,10000,0.40563934020235587,0.3003135086541321,0.5212384796490983,10000,0.037114391410454195,-0.07516268894162882,0.15849934232872442,10000,0.4002579200681553,0.29859426379143233,0.5146491312300138,10000,-0.06443066677402515,-0.18176936086064535,0.06439292642757943,10000,debiased_correct; c=0 is incorrect,2260,2245,4495,275,277,0,0.051408096542470555,0.5206136145733461,0.5155800575263663
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,cuda,3000,10000,80,-0.38181818181818183,0.9272727272727272,0.01818181818181818,-0.38181818181818183,0.9272727272727272,0.01818181818181818,-0.188,-0.6444444444444444,0.34705793771540255,9984,0.39062172363178865,0.20301662284228902,0.6587818140273434,10000,-0.019867896833717757,-0.21868223288894983,0.2691449006862091,10000,0.38642239552428587,0.20000274048040537,0.656239323037762,10000,-0.11225311519877929,-0.3210474927675988,0.1792043196781769,10000,debiased_correct; c=0 is incorrect,743,759,1498,60,60,0,0.06984211146459292,0.5282857102699968,0.5654120226566782
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,java,3000,10000,72,0.07878787878787878,0.9878787878787878,-0.08510677611520905,0.07878787878787878,0.9878787878787878,-0.26747843921922837,0.13793103448275862,-0.19124581496435586,0.4203295945864226,10000,0.4519893899204244,0.32395397026995315,0.5795265473083622,10000,0.13198938992042442,-0.02424294948746877,0.28142316824199015,10000,0.44323292899005046,0.3092049247579814,0.5716093570219533,10000,0.032165735314161115,-0.12953917153645694,0.1899820377970182,10000,debiased_correct; c=0 is incorrect,761,731,1508,156,157,0,0.09590941323640546,0.46922845087402043,0.46115883062085594
rq1_model_battery_3lang_20260723,internvl,OpenGVLab/InternVL3-8B,language,python,3000,10000,75,-0.3939393939393939,0.9515151515151514,-0.04242424242424241,-0.3939393939393939,0.9515151515151514,-0.1515151515151515,-0.27796234772978956,-0.7557518196342979,0.4602052625832512,9349,0.36876181284433185,0.17974831026541543,0.6056171765387021,10000,0.01107893996059034,-0.19229192119570013,0.26080593097971355,10000,0.3650432348285651,0.17663615577174757,0.5957874580786773,10000,-0.10233768952029615,-0.3196720095076506,0.1493707811756551,10000,debiased_correct; c=0 is incorrect,756,755,1489,59,60,0,0.1494565907647645,0.5290322580645161,0.5427183762232692
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,overall,all,9000,10000,35,0.4545454545454545,0.9878787878787878,0.735565707852878,0.4545454545454545,0.9878787878787878,0.735565707852878,0.03121617965367962,-0.2501165973529571,0.3417252384810081,10000,0.6158175582464746,0.526706511256293,0.7016595846723075,10000,0.18341412477007968,0.08133705482743477,0.28313862734137346,10000,0.6149802416786112,0.5233329532391078,0.6995188436660199,10000,0.16570487935977063,0.06483521968390119,0.2644485404336542,10000,debiased_correct; c=0 is incorrect,2260,2245,4495,275,277,0,0.028080773908841603,0.5364868089385976,0.5370985590242747
rq1_model_battery_3lang_20260723,ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,language,cuda,3000,10000,12,0.2727272727272727,0.8909090909090909,0.5515151515151515,0.2727272727272727,0.8909090909090909,0.5515151515151515,-0.05247813411078717,-0.3895389151172505,0.4299841658396575,9984,0.6325678140930557,0.5011345774867826,0.7736000576312382,10000,0.1998192760813599,0.05115823787698792,0.3602797320028224,10000,0.6315045498718969,0.5026299500775069,0.7726514292070886,10000,0.18301970138704837,0.030612968066617362,0.3452980074060025,10000,debiased_correct; c=0 is incorrect,743,759,1498,60,60,0,0.05235683973882087,0.5463034463034463,0.56999856999857
