group,experiment,model,metric,n_observations,n_swap,n_valid,swap_mean,swap_median,valid_mean,valid_median,effect_definition,effect_size_mean_difference,cliffs_delta_swap_vs_valid,boundary_exclusion,method,effect_ci_low,effect_ci_high,raw_p,resamples,seed,cluster_unit,cluster_count,holm_p,direction_expected,direction_maintained
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_b,16347,6954,9393,0.8695894449237849,0.8125,0.5983045885233684,0.5,swap_mean_minus_valid_mean,0.27128485640041644,0.3604973456236771,logit_boundary == False; boundary is abs_b == abs_c,naive_mann_whitney,,,0.0,0,,individual rendering/perturbation observation,16347,0.0,positive,True
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_b,16347,6954,9393,0.8695894449237849,0.8125,0.5983045885233684,0.5,swap_mean_minus_valid_mean,0.27128485640041644,0.3604973456236771,logit_boundary == False; boundary is abs_b == abs_c,pair_cluster_bootstrap,0.2512698870896737,0.29120414335005507,9.999000099990002e-05,10000,20261020.0,pair_id; all conditions retained within pair,3000,0.0007999200079992001,positive,True
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_b,16347,6954,9393,0.8695894449237849,0.8125,0.5983045885233684,0.5,swap_mean_minus_valid_mean,0.27128485640041644,0.3604973456236771,logit_boundary == False; boundary is abs_b == abs_c,crossed_snippet_bayesian_bootstrap,0.22159340509012698,0.3228954211890809,9.999000099990002e-05,10000,20271020.0,crossed snippet_i/snippet_j; product exponential weights,552,0.0007999200079992001,positive,True
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_c,16347,6954,9393,0.3886971527178602,0.3125,1.2848796976471841,1.1875,swap_mean_minus_valid_mean,-0.8961825449293239,-0.7776195541010307,logit_boundary == False; boundary is abs_b == abs_c,naive_mann_whitney,,,0.0,0,,individual rendering/perturbation observation,16347,0.0,negative,True
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_c,16347,6954,9393,0.3886971527178602,0.3125,1.2848796976471841,1.1875,swap_mean_minus_valid_mean,-0.8961825449293239,-0.7776195541010307,logit_boundary == False; boundary is abs_b == abs_c,pair_cluster_bootstrap,-0.9218289157654258,-0.869824832290661,9.999000099990002e-05,10000,20261021.0,pair_id; all conditions retained within pair,3000,0.0007999200079992001,negative,True
perturbation::OpenGVLab/InternVL3-8B,perturbation,OpenGVLab/InternVL3-8B,abs_c,16347,6954,9393,0.3886971527178602,0.3125,1.2848796976471841,1.1875,swap_mean_minus_valid_mean,-0.8961825449293239,-0.7776195541010307,logit_boundary == False; boundary is abs_b == abs_c,crossed_snippet_bayesian_bootstrap,-0.9660621023069925,-0.8323989309159583,9.999000099990002e-05,10000,20271021.0,crossed snippet_i/snippet_j; product exponential weights,552,0.0007999200079992001,negative,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_b,16688,9112,7576,0.9040962467076383,0.875,0.5269683870116156,0.5,swap_mean_minus_valid_mean,0.3771278596960227,0.5594847830541065,logit_boundary == False; boundary is abs_b == abs_c,naive_mann_whitney,,,0.0,0,,individual rendering/perturbation observation,16688,0.0,positive,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_b,16688,9112,7576,0.9040962467076383,0.875,0.5269683870116156,0.5,swap_mean_minus_valid_mean,0.3771278596960227,0.5594847830541065,logit_boundary == False; boundary is abs_b == abs_c,pair_cluster_bootstrap,0.3592247378335969,0.39506384837338315,9.999000099990002e-05,10000,20261120.0,pair_id; all conditions retained within pair,3000,0.0007999200079992001,positive,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_b,16688,9112,7576,0.9040962467076383,0.875,0.5269683870116156,0.5,swap_mean_minus_valid_mean,0.3771278596960227,0.5594847830541065,logit_boundary == False; boundary is abs_b == abs_c,crossed_snippet_bayesian_bootstrap,0.33293214570486485,0.42172937719009723,9.999000099990002e-05,10000,20271120.0,crossed snippet_i/snippet_j; product exponential weights,552,0.0007999200079992001,positive,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_c,16688,9112,7576,0.37419062774363476,0.3125,1.1906101504751847,1.125,swap_mean_minus_valid_mean,-0.8164195227315499,-0.8411958556571142,logit_boundary == False; boundary is abs_b == abs_c,naive_mann_whitney,,,0.0,0,,individual rendering/perturbation observation,16688,0.0,negative,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_c,16688,9112,7576,0.37419062774363476,0.3125,1.1906101504751847,1.125,swap_mean_minus_valid_mean,-0.8164195227315499,-0.8411958556571142,logit_boundary == False; boundary is abs_b == abs_c,pair_cluster_bootstrap,-0.8413860539959174,-0.7913367701985229,9.999000099990002e-05,10000,20261121.0,pair_id; all conditions retained within pair,3000,0.0007999200079992001,negative,True
perturbation::Qwen/Qwen2.5-VL-7B-Instruct,perturbation,Qwen/Qwen2.5-VL-7B-Instruct,abs_c,16688,9112,7576,0.37419062774363476,0.3125,1.1906101504751847,1.125,swap_mean_minus_valid_mean,-0.8164195227315499,-0.8411958556571142,logit_boundary == False; boundary is abs_b == abs_c,crossed_snippet_bayesian_bootstrap,-0.8767464278880065,-0.7595377756191084,9.999000099990002e-05,10000,20271121.0,crossed snippet_i/snippet_j; product exponential weights,552,0.0007999200079992001,negative,True
