model,language,condition,component,n_valid,n_swap,median_valid,median_swap,mannwhitney_u,p_value,holm_p_over_four,observation_unit,boundary_excluded,source_file
OpenGVLab/InternVL3-8B,all,monokai_dark__fs20__wrap80__lnon,abs_b,1279,1721,0.625,1.0,681468.5,1.802978057698922e-71,1.802978057698922e-71,pair; one baseline condition per model,False,/ANON/experiment_root/results/protocol_unified_3lang_20260720/a1/analysis/logit_component_mannwhitney.csv
OpenGVLab/InternVL3-8B,all,monokai_dark__fs20__wrap80__lnon,abs_c,1279,1721,1.1875,0.375,1890550.5,6.836241488338976e-249,2.050872446501693e-248,pair; one baseline condition per model,False,/ANON/experiment_root/results/protocol_unified_3lang_20260720/a1/analysis/logit_component_mannwhitney.csv
Qwen/Qwen2.5-VL-7B-Instruct,all,monokai_dark__fs20__wrap80__lnon,abs_b,1851,1149,0.375,0.8125,474213.5,2.7018092632077865e-144,5.403618526415573e-144,pair; one baseline condition per model,False,/ANON/experiment_root/results/protocol_unified_3lang_20260720/a1/analysis/logit_component_mannwhitney.csv
Qwen/Qwen2.5-VL-7B-Instruct,all,monokai_dark__fs20__wrap80__lnon,abs_c,1851,1149,1.0,0.3125,1878965.0,2.6303083248203057e-274,1.0521233299281223e-273,pair; one baseline condition per model,False,/ANON/experiment_root/results/protocol_unified_3lang_20260720/a1/analysis/logit_component_mannwhitney.csv
