model,representation,language,query_condition,n_queries,same_snippet_top1
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,monokai_dark__fs24__wrap60__lnon,1320,0.7606060606060606
OpenGVLab/InternVL3-8B,projected_visual_mean,cuda,monokai_dark__fs24__wrap80__lnon,1320,0.7446969696969697
OpenGVLab/InternVL3-8B,projected_visual_mean,java,friendly_light__fs20__wrap60__lnon,3443,0.7025849549811212
OpenGVLab/InternVL3-8B,projected_visual_mean,java,friendly_light__fs20__wrap80__lnon,3443,0.7473133894859134
OpenGVLab/InternVL3-8B,projected_visual_mean,java,friendly_light__fs24__wrap60__lnon,3443,0.7191402846354923
OpenGVLab/InternVL3-8B,projected_visual_mean,java,friendly_light__fs24__wrap80__lnon,3443,0.7322102817310485
OpenGVLab/InternVL3-8B,projected_visual_mean,java,mono_light__fs20__wrap60__lnon,3443,0.7264013941330235
OpenGVLab/InternVL3-8B,projected_visual_mean,java,mono_light__fs20__wrap80__lnon,3443,0.7185593958756898
OpenGVLab/InternVL3-8B,projected_visual_mean,java,mono_light__fs24__wrap60__lnon,3443,0.729305837932036
OpenGVLab/InternVL3-8B,projected_visual_mean,java,mono_light__fs24__wrap80__lnon,3443,0.6921289573046762
OpenGVLab/InternVL3-8B,projected_visual_mean,java,monokai_dark__fs20__wrap60__lnon,3443,0.7092651757188498
OpenGVLab/InternVL3-8B,projected_visual_mean,java,monokai_dark__fs20__wrap80__lnon,3443,0.742085390647691
OpenGVLab/InternVL3-8B,projected_visual_mean,java,monokai_dark__fs24__wrap60__lnon,3443,0.7203020621550973
OpenGVLab/InternVL3-8B,projected_visual_mean,java,monokai_dark__fs24__wrap80__lnon,3443,0.7266918385129247
OpenGVLab/InternVL3-8B,projected_visual_mean,python,friendly_light__fs20__wrap60__lnon,1309,0.7868601986249045
OpenGVLab/InternVL3-8B,projected_visual_mean,python,friendly_light__fs20__wrap80__lnon,1309,0.8051948051948052
OpenGVLab/InternVL3-8B,projected_visual_mean,python,friendly_light__fs24__wrap60__lnon,1309,0.8029029793735676
OpenGVLab/InternVL3-8B,projected_visual_mean,python,friendly_light__fs24__wrap80__lnon,1309,0.7914438502673797
OpenGVLab/InternVL3-8B,projected_visual_mean,python,mono_light__fs20__wrap60__lnon,1309,0.80061115355233
OpenGVLab/InternVL3-8B,projected_visual_mean,python,mono_light__fs20__wrap80__lnon,1309,0.8113063407181055
OpenGVLab/InternVL3-8B,projected_visual_mean,python,mono_light__fs24__wrap60__lnon,1309,0.8128342245989305
OpenGVLab/InternVL3-8B,projected_visual_mean,python,mono_light__fs24__wrap80__lnon,1309,0.7929717341482048
OpenGVLab/InternVL3-8B,projected_visual_mean,python,monokai_dark__fs20__wrap60__lnon,1309,0.7929717341482048
OpenGVLab/InternVL3-8B,projected_visual_mean,python,monokai_dark__fs20__wrap80__lnon,1309,0.7845683728036669
OpenGVLab/InternVL3-8B,projected_visual_mean,python,monokai_dark__fs24__wrap60__lnon,1309,0.8029029793735676
OpenGVLab/InternVL3-8B,projected_visual_mean,python,monokai_dark__fs24__wrap80__lnon,1309,0.7685255920550038
OpenGVLab/InternVL3-8B,native_cls,cuda,friendly_light__fs20__wrap60__lnon,1320,0.8462121212121212
OpenGVLab/InternVL3-8B,native_cls,cuda,friendly_light__fs20__wrap80__lnon,1320,0.8871212121212121
OpenGVLab/InternVL3-8B,native_cls,cuda,friendly_light__fs24__wrap60__lnon,1320,0.843939393939394
OpenGVLab/InternVL3-8B,native_cls,cuda,friendly_light__fs24__wrap80__lnon,1320,0.8734848484848485
OpenGVLab/InternVL3-8B,native_cls,cuda,mono_light__fs20__wrap60__lnon,1320,0.8265151515151515
OpenGVLab/InternVL3-8B,native_cls,cuda,mono_light__fs20__wrap80__lnon,1320,0.8674242424242424
OpenGVLab/InternVL3-8B,native_cls,cuda,mono_light__fs24__wrap60__lnon,1320,0.8325757575757575
OpenGVLab/InternVL3-8B,native_cls,cuda,mono_light__fs24__wrap80__lnon,1320,0.8696969696969697
OpenGVLab/InternVL3-8B,native_cls,cuda,monokai_dark__fs20__wrap60__lnon,1320,0.8590909090909091
OpenGVLab/InternVL3-8B,native_cls,cuda,monokai_dark__fs20__wrap80__lnon,1320,0.8643939393939394
OpenGVLab/InternVL3-8B,native_cls,cuda,monokai_dark__fs24__wrap60__lnon,1320,0.865909090909091
OpenGVLab/InternVL3-8B,native_cls,cuda,monokai_dark__fs24__wrap80__lnon,1320,0.853030303030303
OpenGVLab/InternVL3-8B,native_cls,java,friendly_light__fs20__wrap60__lnon,3443,0.8083067092651757
OpenGVLab/InternVL3-8B,native_cls,java,friendly_light__fs20__wrap80__lnon,3443,0.8829509148997967
OpenGVLab/InternVL3-8B,native_cls,java,friendly_light__fs24__wrap60__lnon,3443,0.8184722625617195
OpenGVLab/InternVL3-8B,native_cls,java,friendly_light__fs24__wrap80__lnon,3443,0.8710426953238455
OpenGVLab/InternVL3-8B,native_cls,java,mono_light__fs20__wrap60__lnon,3443,0.7963984896892246
OpenGVLab/InternVL3-8B,native_cls,java,mono_light__fs20__wrap80__lnon,3443,0.861167586407203
OpenGVLab/InternVL3-8B,native_cls,java,mono_light__fs24__wrap60__lnon,3443,0.8033691548068544
OpenGVLab/InternVL3-8B,native_cls,java,mono_light__fs24__wrap80__lnon,3443,0.8466453674121406
OpenGVLab/InternVL3-8B,native_cls,java,monokai_dark__fs20__wrap60__lnon,3443,0.8358989253557944
OpenGVLab/InternVL3-8B,native_cls,java,monokai_dark__fs20__wrap80__lnon,3443,0.8428695904734244
OpenGVLab/InternVL3-8B,native_cls,java,monokai_dark__fs24__wrap60__lnon,3443,0.849549811211153
OpenGVLab/InternVL3-8B,native_cls,java,monokai_dark__fs24__wrap80__lnon,3443,0.8327040371768806
OpenGVLab/InternVL3-8B,native_cls,python,friendly_light__fs20__wrap60__lnon,1309,0.8770053475935828
OpenGVLab/InternVL3-8B,native_cls,python,friendly_light__fs20__wrap80__lnon,1309,0.9243697478991597
OpenGVLab/InternVL3-8B,native_cls,python,friendly_light__fs24__wrap60__lnon,1309,0.878533231474408
OpenGVLab/InternVL3-8B,native_cls,python,friendly_light__fs24__wrap80__lnon,1309,0.917494270435447
OpenGVLab/InternVL3-8B,native_cls,python,mono_light__fs20__wrap60__lnon,1309,0.8601986249045073
OpenGVLab/InternVL3-8B,native_cls,python,mono_light__fs20__wrap80__lnon,1309,0.9129106187929718
OpenGVLab/InternVL3-8B,native_cls,python,mono_light__fs24__wrap60__lnon,1309,0.8601986249045073
OpenGVLab/InternVL3-8B,native_cls,python,mono_light__fs24__wrap80__lnon,1309,0.907563025210084
OpenGVLab/InternVL3-8B,native_cls,python,monokai_dark__fs20__wrap60__lnon,1309,0.8976317799847212
OpenGVLab/InternVL3-8B,native_cls,python,monokai_dark__fs20__wrap80__lnon,1309,0.9022154316271963
OpenGVLab/InternVL3-8B,native_cls,python,monokai_dark__fs24__wrap60__lnon,1309,0.9106187929717342
OpenGVLab/InternVL3-8B,native_cls,python,monokai_dark__fs24__wrap80__lnon,1309,0.8869365928189458
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,friendly_light__fs20__wrap60__lnon,1320,0.9234848484848485
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,friendly_light__fs20__wrap80__lnon,1320,0.9257575757575758
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,friendly_light__fs24__wrap60__lnon,1320,0.9303030303030303
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,friendly_light__fs24__wrap80__lnon,1320,0.9295454545454546
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,mono_light__fs20__wrap60__lnon,1320,0.9181818181818182
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,mono_light__fs20__wrap80__lnon,1320,0.9242424242424242
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,mono_light__fs24__wrap60__lnon,1320,0.9174242424242425
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,mono_light__fs24__wrap80__lnon,1320,0.9053030303030303
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,monokai_dark__fs20__wrap60__lnon,1320,0.9204545454545454
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,monokai_dark__fs20__wrap80__lnon,1320,0.9227272727272727
Qwen/Qwen2.5-VL-7B-Instruct,native_patch_mean,cuda,monokai_dark__fs24__wrap60__lnon,1320,0.9287878787878788
