model,representation,language,condition,rq0_id,baseline_cosine_distance
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_053,0.0011190176010131836
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_054,0.0037712454795837402
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_055,0.0018883347511291504
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_056,0.0018903613090515137
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_057,0.0016509294509887695
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_058,0.0012102723121643066
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_059,0.0017186999320983887
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_060,0.000834047794342041
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_061,0.000773310661315918
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_062,0.0
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_063,0.0012386441230773926
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_064,0.0014224648475646973
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_065,0.0024682283401489258
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_066,0.0016540884971618652
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_067,0.0007088184356689453
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_068,0.0006595253944396973
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_069,0.0008487701416015625
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_070,0.0023202896118164062
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_071,0.0008373856544494629
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_072,0.0013494491577148438
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_073,0.0009629726409912109
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_074,0.0012509822845458984
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_075,0.0023071765899658203
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_076,0.0005365610122680664
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_077,0.0006570816040039062
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_078,0.0006568431854248047
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_079,0.0006916522979736328
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_080,0.0021181702613830566
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_081,0.0021190643310546875
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_082,0.0009549856185913086
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_083,0.007159709930419922
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_084,0.004304230213165283
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_085,0.0011407732963562012
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_086,0.0007315278053283691
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_087,0.0013333559036254883
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_088,0.003770589828491211
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_089,0.0006316304206848145
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_090,0.0005047321319580078
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_091,0.002126932144165039
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_092,0.0018198490142822266
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_093,0.0009824633598327637
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_094,0.0006194710731506348
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_095,0.000576317310333252
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_096,0.0
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_097,0.0008141994476318359
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_098,0.001826941967010498
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_099,0.0017186999320983887
OpenGVLab/InternVL3-8B,native_patch_mean,cuda,gaussian_sigma_1,dorn_cuda_100,0.0006292462348937988
