model,setting,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,spearman_valid_only
OpenGVLab/InternVL3-8B,combined_labeled_image_only,1861,856,584,0.6822429906542056,0.3138097796883396,0.5400322407307899,0.37327684395130045
OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image,1861,1334,885,0.6634182908545727,0.4755507791509941,0.2831810854379366,0.3308414545130474
OpenGVLab/InternVL3-8B,image_only,1861,556,252,0.45323741007194246,0.1354110693175712,0.7012358946802795,-0.015259210530587425
OpenGVLab/InternVL3-8B,text_plus_image,1861,1026,692,0.6744639376218323,0.37184309511015584,0.4486835034927458,0.370325868125473
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only,1861,1195,970,0.8117154811715481,0.5212251477700162,0.35787211176786676,0.6098342689405619
Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image,1861,1457,1100,0.7549759780370625,0.5910800644814616,0.21708758731864589,0.49596520440306824
Qwen/Qwen2.5-VL-7B-Instruct,image_only,1861,1246,1045,0.8386837881219904,0.5615260612573885,0.33046749059645353,0.646321639765871
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,1861,1502,1089,0.7250332889480693,0.5851692638366469,0.19290703922622246,0.4435686516429213
