model,setting,language,difficulty,pairs,mean_abs_z_gap,strict_swap_errors,strict_swap_error,strict_swap_error_ci_low,strict_swap_error_ci_high,effective_accuracy
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,easy,1000,1.88847211857825,227,0.227,0.20211062426744336,0.2539787858656698,0.644
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,hard,1000,0.35021524408893046,353,0.353,0.32399373843890167,0.3831313285558515,0.387
Qwen/Qwen2.5-VL-7B-Instruct,image_only,cuda,medium,1000,0.7468452307654676,322,0.322,0.29376911381672366,0.351593212204134,0.468
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,easy,1000,1.5345851295999107,453,0.453,0.42238588647477426,0.483973828822868,0.449
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,hard,1000,0.34873264432354484,558,0.558,0.5270556511526086,0.5885004448630671,0.282
Qwen/Qwen2.5-VL-7B-Instruct,image_only,python,medium,1000,0.738601338903105,516,0.516,0.48502415202019794,0.5468533917082643,0.327
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,easy,1000,1.88847211857825,174,0.174,0.15176235026548338,0.19873269626709858,0.609
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,hard,1000,0.35021524408893046,278,0.278,0.2511220562741525,0.30657702449343394,0.417
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,cuda,medium,1000,0.7468452307654676,240,0.24,0.21455652518754262,0.2674333892249461,0.477
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,easy,1000,1.5345851295999107,214,0.214,0.1897000852144518,0.24048882063928573,0.546
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,hard,1000,0.34873264432354484,278,0.278,0.2511220562741525,0.30657702449343394,0.409
Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image,python,medium,1000,0.738601338903105,243,0.243,0.2174334622970866,0.27053349156448875,0.444
