,,char_error_rate,char_error_rate,char_error_rate,char_error_rate,token_f1,token_f1,token_f1,token_f1,line_count_abs_diff,line_count_abs_diff,line_count_abs_diff,line_count_abs_diff,indent_mean_abs_delta,indent_mean_abs_delta,indent_mean_abs_delta,indent_mean_abs_delta,runtime_sec,runtime_sec,runtime_sec,runtime_sec,mean_confidence,mean_confidence,mean_confidence,mean_confidence
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
ocr_engine,dataset_name,,,,,,,,,,,,,,,,,,,,,,,,
easyocr,Dorn,0.3346842014958288,0.33125,0.08937213032568686,239,0.6205370981947683,0.6759581881533101,0.1740835691459956,239,76.61506276150628,71.0,57.187535581990424,239,6.049770089427345,5.2439024390243905,4.000286002529997,239,4.026268448290964,3.164867401123047,5.317604636414504,239,0.8853698147201104,0.8902951734580407,0.03862402166415323,239
easyocr_preprocessed,Dorn,0.3811704344435148,0.38427947598253276,0.085337295540983,239,0.6511154099786192,0.7066974595842955,0.17905157103797564,239,99.52301255230125,96.0,72.3024001900306,239,6.049782051076065,5.2439024390243905,4.000279445927483,239,6.302405820232056,6.506779909133911,3.864188247892067,239,0.8837634471625797,0.8907762565740517,0.0434811505156546,239
rapidocr,Dorn,0.2123792021587613,0.1945088940448569,0.08949603934427162,239,0.7524489348011031,0.8284153005464482,0.19901619977995208,239,28.564853556485357,23.0,23.601091768105377,239,6.0447089020499565,5.2439024390243905,3.9999603656208307,239,1.2098116914597514,1.1683270931243896,0.401926840315944,239,0.7786259036926177,0.7730528118719497,0.025273547309474682,239
