split_kind,repeats,median_validation_pairs,median_test_pairs,median_threshold,mean_rf_accuracy,mean_fallback_accuracy,mean_accuracy_delta,delta_ci_low,delta_ci_high,mean_delegation_rate,positive_delta_repeats
pair_stratified,100,3000.0,3000.0,0.3492093816517973,0.6811499999999999,0.7019699999999998,0.020819999999999984,0.011791666666666641,0.029858333333333313,0.2963199999999999,100
snippet_disjoint,100,1478.5,1499.5,0.3276822347171788,0.6821241990420848,0.6983554958425556,0.016231296800470866,-0.0034258395329827135,0.03399741794270695,0.24352143934350856,94
