snippet_id,dataset_name,ocr_engine,parse_status,char_error_rate,original_num_lines,ocr_num_lines,token_precision,token_recall,token_f1,indent_mean_abs_delta,runtime_sec,mean_confidence,line_count_abs_diff
dorn_cuda_000,Dorn,rapidocr,ok,0.1335941866964785,51,112,0.7682619647355163,0.8866279069767442,0.8232118758434548,6.68874584717608,2.688205480575561,0.7625168423068863,61
dorn_cuda_001,Dorn,rapidocr,ok,0.0973630831643002,11,25,0.9532710280373832,0.9760765550239234,0.9645390070921985,5.737777777777778,3.035286664962769,0.8118579301147735,14
dorn_cuda_010,Dorn,rapidocr,ok,0.15441176470588236,51,126,0.7548845470692718,0.869120654396728,0.8079847908745247,4.292063492063492,2.898508787155152,0.7695773423358998,75
dorn_cuda_100,Dorn,rapidocr,ok,0.11989630589760207,51,88,0.8973384030418251,0.9731958762886598,0.933728981206726,2.4390243902439024,1.4978351593017578,0.7691899675545549,37
dorn_cuda_101,Dorn,rapidocr,ok,0.1813664596273292,31,43,0.8071748878923767,0.8294930875576036,0.8181818181818181,5.142857142857143,1.172945499420166,0.7633399324750609,12
dorn_cuda_102,Dorn,rapidocr,ok,0.16721311475409836,51,78,0.809322033898305,0.9009433962264151,0.8526785714285714,5.428571428571429,1.338122844696045,0.7445321016196389,27
dorn_cuda_103,Dorn,rapidocr,ok,0.09487179487179487,11,16,0.8317757009345794,0.9081632653061225,0.8682926829268293,3.3660714285714284,1.2185025215148926,0.8067156131179165,5
dorn_cuda_104,Dorn,rapidocr,ok,0.19058050383351588,30,47,0.7696335078534031,0.8698224852071006,0.8166666666666667,7.2301740812379105,1.3633029460906982,0.776316612138359,17
dorn_cuda_105,Dorn,rapidocr,ok,0.112,10,13,0.7368421052631579,0.8076923076923077,0.7706422018348624,0.6666666666666666,1.6521000862121582,0.831666811170291,3
dorn_cuda_106,Dorn,rapidocr,ok,0.11865443425076452,50,99,0.8184143222506394,0.9329446064139941,0.8719346049046321,3.7837837837837838,1.4517254829406738,0.7593451040243882,49
dorn_cuda_107,Dorn,rapidocr,ok,0.23208191126279865,11,14,0.8636363636363636,0.7916666666666666,0.8260869565217391,4.0,1.000159740447998,0.8279981359280605,3
dorn_cuda_108,Dorn,rapidocr,ok,0.19194395796847635,51,137,0.8106169296987088,0.8773291925465838,0.8426547352721849,4.5,2.097925901412964,0.7649300075412757,86
dorn_cuda_109,Dorn,rapidocr,ok,0.20348837209302326,11,16,0.875,0.875,0.875,0.0,0.6008255481719971,0.8054268567258973,5
dorn_cuda_011,Dorn,rapidocr,ok,0.2648809523809524,11,23,0.7692307692307693,0.7086614173228346,0.7377049180327869,1.1428571428571428,1.4114100933074951,0.7870868081873819,12
dorn_cuda_110,Dorn,rapidocr,ok,0.1016548463356974,51,126,0.7953216374269005,0.9066666666666666,0.8473520249221183,5.209302325581396,2.1883866786956787,0.7724008596070919,75
dorn_cuda_111,Dorn,rapidocr,ok,0.20218579234972678,30,63,0.8097165991902834,0.9009009009009009,0.8528784648187634,3.090909090909091,1.23348069190979,0.770323917229114,33
dorn_cuda_112,Dorn,rapidocr,ok,0.1497695852534562,51,84,0.8925143953934741,0.9489795918367347,0.9198813056379822,2.8095238095238093,1.3284952640533447,0.7768095075111063,33
dorn_cuda_113,Dorn,rapidocr,ok,0.1363173957273652,51,117,0.8422876949740035,0.9204545454545454,0.8796380090497737,8.0,1.4239847660064695,0.7755909014727651,66
dorn_cuda_114,Dorn,rapidocr,ok,0.2101761252446184,51,128,0.741042345276873,0.8363970588235294,0.7858376511226252,4.212765957446808,1.76224946975708,0.7651409717999436,77
dorn_cuda_115,Dorn,rapidocr,ok,0.0987080103359173,31,86,0.8778625954198473,0.9484536082474226,0.9117938553022794,4.428571428571429,1.3679478168487549,0.7780563471776553,55
dorn_cuda_116,Dorn,rapidocr,ok,0.10387984981226533,31,47,0.80625,0.9020979020979021,0.8514851485148516,3.5,1.04943585395813,0.7542024972815315,16
dorn_cuda_117,Dorn,rapidocr,ok,0.21623731459797033,31,62,0.820627802690583,0.8926829268292683,0.8551401869158879,23.183870967741935,1.210676670074463,0.7776561125623757,31
dorn_cuda_118,Dorn,rapidocr,ok,0.08587786259541985,11,23,0.837037037037037,0.889763779527559,0.8625954198473282,2.770186335403727,1.0093111991882324,0.8149603892996503,12
dorn_cuda_119,Dorn,rapidocr,ok,0.14690265486725665,31,40,0.8622448979591837,0.8848167539267016,0.8733850129198967,4.2592592592592595,1.0477159023284912,0.7355640550617988,9
dorn_cuda_012,Dorn,rapidocr,ok,0.31746031746031744,10,14,0.7551020408163265,0.7708333333333334,0.7628865979381444,11.0,1.127295970916748,0.7918470642512527,4
dorn_cuda_013,Dorn,rapidocr,ok,0.20324324324324325,31,56,0.8502024291497976,0.875,0.8624229979466119,2.4169254658385095,1.1210861206054688,0.7707416325379663,25
dorn_cuda_014,Dorn,rapidocr,ok,0.15316760224538895,31,68,0.8477611940298507,0.9311475409836065,0.8875000000000001,3.36,1.2663905620574951,0.7914309266182956,37
dorn_cuda_015,Dorn,rapidocr,ok,0.11320754716981132,31,51,0.8185483870967742,0.9227272727272727,0.8675213675213677,5.2,1.1683270931243896,0.7603492823704255,20
dorn_cuda_016,Dorn,rapidocr,ok,0.21375186846038863,31,59,0.7188405797101449,0.8641114982578397,0.7848101265822784,3.7857142857142856,1.104292869567871,0.7776412668833513,28
dorn_cuda_017,Dorn,rapidocr,ok,0.14450867052023122,51,79,0.8250950570342205,0.9194915254237288,0.8697394789579157,4.390243902439025,1.2065098285675049,0.7655348790619247,28
