condition,condition_label,language,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_calls,spearman_valid_only
easyocr,EasyOCR text,cuda,3000,796,452,0.5678391959798995,0.15066666666666667,0.7346666666666667,0,0.19022039302252033
easyocr,EasyOCR text,python,3000,359,193,0.5376044568245125,0.06433333333333334,0.8803333333333333,0,0.11660326516654343
easyocr_preprocessed,EasyOCR preprocessed text,cuda,3000,733,413,0.5634379263301501,0.13766666666666666,0.7556666666666667,0,0.20215125229119046
easyocr_preprocessed,EasyOCR preprocessed text,python,3000,288,169,0.5868055555555556,0.05633333333333333,0.904,0,0.25357196900722845
rapidocr,RapidOCR text,cuda,3000,1075,647,0.6018604651162791,0.21566666666666667,0.6416666666666667,0,0.28078932273765833
rapidocr,RapidOCR text,python,3000,472,296,0.6271186440677966,0.09866666666666667,0.8426666666666667,0,0.3294101325716289
source,Source text,cuda,3000,1724,996,0.5777262180974478,0.332,0.42533333333333334,0,0.19524061581132282
source,Source text,python,3000,1362,782,0.5741556534508077,0.26066666666666666,0.546,0,0.17403662352332094
