model,setting,scope,language,difficulty,pairs,rf_accuracy,vlm_effective_accuracy,delta_vlm_minus_rf,delta_ci_low,delta_ci_high,mcnemar_rf_only_correct,mcnemar_vlm_only_correct,mcnemar_p,mcnemar_fdr_p
OpenGVLab/InternVL3-8B,image_only,difficulty,all,hard,2000,0.585,0.136,-0.449,-0.478,-0.42048750000000007,1090,192,1.209333837798299e-152,6.82917931933157e-152
OpenGVLab/InternVL3-8B,image_only,difficulty,all,medium,2000,0.6505,0.1385,-0.512,-0.5385,-0.4825,1193,169,4.832948756872607e-190,3.866359005498086e-189
OpenGVLab/InternVL3-8B,image_only,language_difficulty,cuda,easy,1000,0.886,0.155,-0.731,-0.762,-0.6969750000000001,769,38,5.624951420160308e-178,3.5999689089025972e-177
OpenGVLab/InternVL3-8B,image_only,language_difficulty,cuda,hard,1000,0.608,0.126,-0.482,-0.523,-0.4419750000000001,577,95,4.378943814748181e-85,1.2010817320452155e-84
OpenGVLab/InternVL3-8B,image_only,language_difficulty,cuda,medium,1000,0.708,0.123,-0.585,-0.623,-0.546,658,73,1.255966160293676e-118,5.2422935386170825e-118
OpenGVLab/InternVL3-8B,image_only,language_difficulty,python,easy,1000,0.729,0.127,-0.602,-0.637,-0.567,647,45,1.2922752467437174e-137,5.907543985114137e-137
OpenGVLab/InternVL3-8B,image_only,language_difficulty,python,hard,1000,0.562,0.146,-0.416,-0.455,-0.377,513,97,2.8323933094795876e-69,5.785313993830647e-69
OpenGVLab/InternVL3-8B,image_only,language_difficulty,python,medium,1000,0.593,0.154,-0.439,-0.479025,-0.396,535,96,8.570421552039438e-75,1.913396439525084e-74
OpenGVLab/InternVL3-8B,text_plus_image,overall,all,all,6000,0.681,0.3233333333333333,-0.3576666666666667,-0.37433333333333335,-0.3415,2879,733,4.291361134149793e-298,8.239413377567604e-297
OpenGVLab/InternVL3-8B,text_plus_image,language,cuda,all,3000,0.734,0.3016666666666667,-0.43233333333333335,-0.45666666666666667,-0.40599166666666675,1643,346,1.5826579804295831e-201,1.5193516612123996e-200
OpenGVLab/InternVL3-8B,text_plus_image,language,python,all,3000,0.628,0.345,-0.283,-0.30900833333333333,-0.25866666666666666,1236,387,2.6673672146809105e-103,9.48397231886546e-103
OpenGVLab/InternVL3-8B,text_plus_image,difficulty,all,easy,2000,0.8075,0.3695,-0.438,-0.4665,-0.41,1062,186,2.5244299904925138e-149,1.3463626615960074e-148
OpenGVLab/InternVL3-8B,text_plus_image,difficulty,all,hard,2000,0.585,0.28,-0.305,-0.337,-0.2745,893,283,5.2768562003552795e-74,1.1257293227424595e-73
OpenGVLab/InternVL3-8B,text_plus_image,difficulty,all,medium,2000,0.6505,0.3205,-0.33,-0.3595,-0.301,924,264,3.673911016101096e-86,1.1021733048303289e-85
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,cuda,easy,1000,0.886,0.355,-0.531,-0.57,-0.493,600,69,1.282732317880982e-106,4.736242404483626e-106
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,cuda,hard,1000,0.608,0.251,-0.357,-0.402,-0.314,499,142,1.918819022474332e-47,3.070110435958931e-47
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,cuda,medium,1000,0.708,0.299,-0.409,-0.453025,-0.366,544,135,4.865855902569666e-59,8.983118589359384e-59
OpenGVLab/InternVL3-8B,text_plus_image,language_difficulty,python,easy,1000,0.729,0.384,-0.345,-0.387,-0.303,462,117,1.9710746825308478e-49,3.262468440051058e-49
