ocr_engine,language,snippets,ok_rate,cer,token_f1,line_count_abs_diff,runtime_sec
easyocr,cuda,120,1.0,0.31230130593813626,0.6730882350100839,83.73333333333333,4.031396375099818
easyocr,python,119,1.0,0.3572551886128296,0.5675443551877273,69.43697478991596,4.0210974296601885
easyocr_preprocessed,cuda,120,1.0,0.3609703767026525,0.6968307829420155,108.7,7.14492041071256
easyocr_preprocessed,python,119,1.0,0.40154024056875404,0.6050158742172113,90.26890756302521,5.452811275209699
rapidocr,cuda,120,1.0,0.1791528686728355,0.8176209187040732,31.008333333333333,1.2770917415618896
rapidocr,python,119,1.0,0.24588474853112344,0.6867292871678561,26.100840336134453,1.1419662627853264
