run_id,language,system,model,n_total_pairs,n_valid_pairs,n_correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,parse_failure_calls,denominator_definition
deploy_java_clean,java,Source-access RF,random_forest_regressor,3000,3000,1870,0.6233333333333333,0.6233333333333333,0.0,0.0,0,all pairs; deterministic score difference
deploy_java_clean,java,RapidOCR + best ML,svr,3000,3000,1589,0.5296666666666666,0.5296666666666666,0.0,0.0,0,all pairs; deterministic score difference
clean_default,java,Direct Qwen image-only,Qwen/Qwen2.5-VL-7B-Instruct / image_only / clean,3000,1867,1160,0.38666666666666666,0.6213176218532405,0.3776666666666667,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_java_clean,java,Source-text Qwen2.5-Coder,Qwen2.5-Coder-7B-Instruct,3000,1796,999,0.333,0.5562360801781737,0.4013333333333333,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_java_clean,java,Best OCR-text LLM (RapidOCR),Qwen2.5-Coder-7B-Instruct,3000,1530,854,0.2846666666666667,0.5581699346405229,0.49,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,python,Source-access RF,random_forest_regressor,3000,3000,1884,0.628,0.628,0.0,0.0,0,all pairs; deterministic score difference
deploy_python_cuda,python,RapidOCR + best ML,gradient_boosting_regressor,3000,3000,1786,0.5953333333333334,0.5953333333333334,0.0,0.0,0,all pairs; deterministic score difference
deploy_python_cuda,python,Direct Qwen image-only,Qwen/Qwen2.5-VL-7B-Instruct,3000,1473,1058,0.3526666666666667,0.7182620502376104,0.509,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,python,Source-text Qwen2.5-Coder,Qwen2.5-Coder-7B-Instruct,3000,1362,782,0.26066666666666666,0.5741556534508077,0.546,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,python,Best OCR-text LLM (RapidOCR),Qwen2.5-Coder-7B-Instruct,3000,472,296,0.09866666666666667,0.6271186440677966,0.8426666666666667,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,cuda,Source-access RF,random_forest_regressor,3000,3000,2202,0.734,0.734,0.0,0.0,0,all pairs; deterministic score difference
deploy_python_cuda,cuda,RapidOCR + best ML,linear_regression,3000,3000,1822,0.6073333333333333,0.6073333333333333,0.0,0.0,0,all pairs; deterministic score difference
deploy_python_cuda,cuda,Direct Qwen image-only,Qwen/Qwen2.5-VL-7B-Instruct,3000,2098,1499,0.49966666666666665,0.7144899904671115,0.3006666666666667,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,cuda,Source-text Qwen2.5-Coder,Qwen2.5-Coder-7B-Instruct,3000,1724,996,0.332,0.5777262180974478,0.4253333333333333,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
deploy_python_cuda,cuda,Best OCR-text LLM (RapidOCR),Qwen2.5-Coder-7B-Instruct,3000,1075,647,0.21566666666666667,0.6018604651162791,0.6416666666666667,0.0,0,effective=correct strict-valid/all pairs; valid=correct strict-valid/valid pairs; swap=order-inconsistent pairs/all pairs; parse rate=parse-failed calls/(2*n)
