model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
ministral,overall,all,6,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,854,469,0.5491803278688525,0.5234375,0.5524553571428571,896,0.5491803278688525,0.5234375,0.5524553571428571,3.25,3.625,4.0
ministral,overall,all,7,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,895,476,0.5318435754189944,0.5306577480490524,0.5317725752508361,897,0.5318435754189944,0.5306577480490524,0.5317725752508361,4.0,4.375,4.75
ministral,overall,all,8,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,896,499,0.5569196428571429,0.5569196428571429,0.5569196428571429,896,0.5569196428571429,0.5569196428571429,0.5569196428571429,4.75,5.0625,5.4375
ministral,overall,all,9,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,897,0,897,491,0.5473801560758083,0.5473801560758083,0.5473801560758083,897,0.5473801560758083,0.5473801560758083,0.5473801560758083,5.4375,5.875,6.25
ministral,overall,all,10,rq1_model_battery_3lang_20260723,mistralai/Ministral-3-8B-Instruct-2512-BF16,896,0,896,571,0.6372767857142857,0.6372767857142857,0.6372767857142857,896,0.6372767857142857,0.6372767857142857,0.6372767857142857,6.25,6.875,8.6875
phi,overall,all,1,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,2177,1418,423,188,0.4444444444444444,0.08635737253100598,0.15296279283417547,759,0.4444444444444444,0.24769433465085638,0.43873517786561267,0.0,0.0,0.125
phi,overall,all,2,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,501,245,0.48902195608782434,0.3232189973614776,0.48284960422163586,758,0.48902195608782434,0.3232189973614776,0.48284960422163586,0.125,0.125,0.125
phi,overall,all,3,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,428,213,0.4976635514018692,0.28100263852242746,0.49868073878627966,758,0.4976635514018692,0.28100263852242746,0.49868073878627966,0.125,0.125,0.125
phi,overall,all,4,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,592,264,0.44594594594594594,0.3482849604221636,0.44591029023746703,758,0.44594594594594594,0.3482849604221636,0.44591029023746703,0.125,0.25,0.25
phi,overall,all,5,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,703,306,0.4352773826458037,0.40369393139841686,0.4366754617414248,758,0.4352773826458037,0.40369393139841686,0.4366754617414248,0.25,0.25,0.25
phi,overall,all,6,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,759,0,674,325,0.4821958456973294,0.4281949934123847,0.47167325428194995,759,0.4821958456973294,0.4281949934123847,0.47167325428194995,0.25,0.25,0.25
phi,overall,all,7,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,726,329,0.453168044077135,0.4340369393139842,0.4551451187335092,758,0.453168044077135,0.4340369393139842,0.4551451187335092,0.25,0.375,0.375
phi,overall,all,8,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,726,348,0.4793388429752066,0.45910290237467016,0.4736147757255937,758,0.4793388429752066,0.45910290237467016,0.4736147757255937,0.375,0.375,0.375
phi,overall,all,9,rq1_model_battery_3lang_20260723,microsoft/Phi-4-multimodal-instruct,758,0,742,324,0.4366576819407008,0.42744063324538256,0.4313984168865435,758,0.4366576819407008,0.42744063324538256,0.4313984168865435,0.375,0.5,0.5
