metric,condition_a,condition_b,n_pairs,acc_a,acc_b,diff_pp,discordant_a_only,discordant_b_only,mcnemar_p
E,text_only_source,text_only_ocr,9000,0.4477777777777778,0.27955555555555556,16.822222222222223,2257,743,8.122181133153011e-176
E,text_only_source,image_only,9000,0.4477777777777778,0.413,3.4777777777777796,1643,1330,1.0208134874658668e-08
E,text_only_ocr,image_only,9000,0.27955555555555556,0.413,-13.344444444444441,1104,2305,7.374029845222714e-96
D,text_only_source,text_only_ocr,8562,0.574398505022191,0.5436813828544732,3.0717122167717825,1312,1049,6.76100477649836e-08
