run_name,system,kind,model,ocr_engine,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy,delta_vs_oracle_rf,delta_vs_best_ocr_rf
source_text_llm,Source text LLM Qwen2.5-Coder,source_text_llm,Qwen2.5-Coder-7B-Instruct,,3000,1796,999,0.333,0.5562360801781737,0.4013333333333333,0.0,1000,0.345,0.5798319327731093,1000,0.33,0.5699481865284974,1000,0.324,0.5209003215434084,-0.2903333333333333,-0.1856666666666667
ocr_text_llm_easyocr,OCR(EasyOCR)+text-only LLM Qwen2.5-Coder,ocr_text_llm,Qwen2.5-Coder-7B-Instruct,easyocr,3000,1139,613,0.20433333333333334,0.5381913959613697,0.6203333333333334,0.0,1000,0.194,0.5388888888888889,1000,0.215,0.5718085106382979,1000,0.204,0.5062034739454094,-0.41899999999999993,-0.31433333333333335
ocr_text_llm_rapidocr,OCR(RapidOCR)+text-only LLM Qwen2.5-Coder,ocr_text_llm,Qwen2.5-Coder-7B-Instruct,rapidocr,3000,1530,854,0.2846666666666667,0.5581699346405229,0.49,0.0,1000,0.306,0.6047430830039525,1000,0.284,0.5668662674650699,1000,0.264,0.5047801147227533,-0.3386666666666666,-0.23400000000000004
ocr_text_llm_easyocr_preprocessed,OCR(EasyOCR-preprocessed)+text-only LLM Qwen2.5-Coder,ocr_text_llm,Qwen2.5-Coder-7B-Instruct,easyocr_preprocessed,3000,1107,627,0.209,0.5663956639566395,0.631,0.0,1000,0.208,0.6135693215339233,1000,0.207,0.5702479338842975,1000,0.212,0.5234567901234568,-0.41433333333333333,-0.30966666666666676
