model,contrast_type,variant_i,variant_j,n_pairs,valid_pairs,invalid_pairs,target_selected_valid_pairs,parse_failure_pairs,valid_rate,target_preference_valid,target_preference_valid_wilson_low,target_preference_valid_wilson_high,effective_target_preference,strict_swap_error,strict_swap_wilson_low,strict_swap_wilson_high,binom_p_vs_0_5_valid,debiased_non_tie_pairs,debiased_target_pairs,debiased_target_preference,median_abs_content_signal,median_abs_position_bias,holm_p_within_family
Qwen/Qwen2.5-VL-7B-Instruct,semantic_and_visual_aligned,golden,beautiful_trash,300,293,7,293,0,0.9766666666666667,1.0,0.9870588871380849,0.9999999999999999,0.9766666666666667,0.023333333333333334,0.011347660299125234,0.04737197226827532,1.256727927116218e-88,300,300,1.0,3.625,0.46875,6.28363963558109e-88
Qwen/Qwen2.5-VL-7B-Instruct,semantic_and_visual_aligned,golden,ugly_trash,300,294,6,294,0,0.98,1.0,0.987102336807292,1.0,0.98,0.02,0.009197631557703617,0.042939620817860576,6.28363963558109e-89,300,300,1.0,3.75,0.4375,3.770183781348654e-88
Qwen/Qwen2.5-VL-7B-Instruct,semantic_only_under_ugly,ugly_gold,ugly_trash,300,292,8,292,0,0.9733333333333334,1.0,0.9870151437327032,0.9999999999999999,0.9733333333333334,0.02666666666666667,0.01357306980864708,0.05172894295058982,2.513455854232436e-88,300,300,1.0,3.25,0.5625,1.0053823416929744e-87
Qwen/Qwen2.5-VL-7B-Instruct,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,300,291,9,291,0,0.97,1.0,0.9869711036023928,0.9999999999999999,0.97,0.03,0.01586185380943231,0.05602253914164096,5.026911708464872e-88,300,300,1.0,3.1875,0.6875,1.5080735125394616e-87
Qwen/Qwen2.5-VL-7B-Instruct,visual_only_gold,golden,ugly_gold,300,198,102,198,0,0.66,1.0,0.9809679396733518,1.0,0.66,0.34,0.2887202040964927,0.395325546695362,4.9784122222889134e-60,298,295,0.9899328859060402,0.75,0.5,9.956824444577827e-60
Qwen/Qwen2.5-VL-7B-Instruct,visual_only_trash,beautiful_trash,ugly_trash,300,24,276,24,0,0.08,1.0,0.8620237953250198,1.0,0.08,0.92,0.8837267595665261,0.9456531446048553,1.1920928955078125e-07,297,292,0.9831649831649831,0.5,1.1875,1.1920928955078125e-07
