easy_gap_quartile,unique_pairs,pair_run_rows,score_gap_min,score_gap_max,score_gap_mean,strict_swap_error
1,250,2000,1.0000637818086873,1.3054308522443825,1.151623092723634,0.411
2,250,2000,1.305673301442686,1.7144419714076573,1.4998539531923287,0.4105
3,250,2000,1.7175785069127514,2.257351190861419,1.9747481365959383,0.3975
4,250,2000,2.257464330390954,4.279799206357435,2.767505683557042,0.361
