replicate,easy_swap,hard_swap,easy_minus_hard,weighted_linear_slope_per_abs_z
0,0.40171541057367827,0.42892857142857144,-0.02721316085489317,-0.02283275923934659
1,0.36542669584245074,0.3911375661375661,-0.025710870295115373,-0.015081786212746895
2,0.4035787847579815,0.38376110562685095,0.019817679131130528,-0.007860867140667
3,0.36165433403805497,0.39500473484848486,-0.03335040081042989,-0.01961682551769357
4,0.388986013986014,0.42024832855778416,-0.031262314571770145,-0.02952283350701846
5,0.412122030237581,0.38598278985507245,0.026139240382508533,0.004056546536742902
6,0.40475597609561753,0.40333660451422965,0.0014193715813878849,-0.004915013683926814
7,0.4241573033707865,0.4363543788187373,-0.01219707544795079,-0.012912862143533998
8,0.39930886558627265,0.41436392075078204,-0.01505505516450939,-0.01757616982847557
9,0.4109195402298851,0.39925564681724846,0.011663893412636628,0.0021258271039922495
10,0.40435010482180295,0.4161025145067698,-0.01175240968496688,-0.020458721978376487
11,0.40292425695110257,0.42053757828810023,-0.017613321336997667,-0.017552879182754184
12,0.3854463437796771,0.421694648478489,-0.03624830469881185,-0.02730204085917152
13,0.3613490364025696,0.3830244122965642,-0.021675375893994597,-0.013611129789284427
14,0.407798833819242,0.39427923387096775,0.01351959994827423,-0.0051102378863894715
15,0.421804932735426,0.4120031380753138,0.009801794660112217,0.0032893034241825185
16,0.4070357833655706,0.4020763187429854,0.00495946462258523,-0.010523998212969716
17,0.40556660039761433,0.41541541541541543,-0.009848815017801105,-0.0043256864301457615
18,0.4127081292850147,0.41439636752136755,-0.0016882382363528348,-0.01748150235554352
19,0.3739373007438895,0.409587995930824,-0.03565069518693453,-0.025911241607004306
20,0.40037950664136623,0.4145791583166333,-0.014199651675267044,-0.023108111262814365
21,0.3889607032057911,0.3975554435483871,-0.008594740342595997,-0.016614590976505226
22,0.4112903225806452,0.4305028462998102,-0.019212523719165042,-0.02455575920778077
23,0.4077020202020202,0.43837151394422313,-0.030669493742202958,-0.025741993429917814
24,0.4168855042016807,0.4124636275460718,0.004421876655608892,-0.005795025741155535
25,0.3864594309799789,0.377803738317757,0.008655692662221937,0.000823386318435685
26,0.4035365853658537,0.40689467969598264,-0.003358094330128958,-0.01639258899682093
27,0.3846351490236382,0.39472477064220185,-0.010089621618563638,-0.010895505410107607
28,0.39946855624446415,0.4100672877846791,-0.010598731540214956,-0.016732868794029448
29,0.3551507537688442,0.3943578847969783,-0.03920713102813411,-0.04308960125446678
30,0.3903313550939664,0.37333333333333335,0.01699802176063303,-0.0036318898128311415
31,0.40191867124856817,0.4193738229755179,-0.017455151726949725,-0.025328108190854143
32,0.40740238611713664,0.430316091954023,-0.022913705836886344,-0.01499859986355434
33,0.37178012879484823,0.39631226053639845,-0.024532131741550223,-0.020904617518154936
34,0.38311170212765955,0.3758486905916586,0.007263011536000952,-0.01579483689673781
35,0.4015369836695485,0.39076139670223087,0.010775586967317619,-0.011025874185217062
36,0.3838220675944334,0.3973646034816248,-0.013542535887191398,-0.020096904145041887
37,0.39830264672036825,0.3833914559721011,0.014911190748267134,-0.011583835110061447
38,0.38275,0.4188102893890675,-0.036060289389067524,-0.03851785421717841
39,0.39579158316633267,0.4117647058823529,-0.01597312271602025,-0.01315461266914243
40,0.41103484688489966,0.4278403275332651,-0.016805480648365456,-0.01760196312409805
41,0.3745340167753961,0.4170609884332282,-0.04252697165783209,-0.03400363634230824
42,0.4087301587301587,0.4376787416587226,-0.028948582928563893,-0.022904126224171942
43,0.38549528301886793,0.3897136797454931,-0.004218396726625162,-0.008381184047861198
44,0.4044836956521739,0.4031611754229742,0.0013225202291997085,-0.0052893478177705195
45,0.3614472410454985,0.4053955078125,-0.043948266767001476,-0.027167774144656008
46,0.39538336933045354,0.4134520276953511,-0.018068658364897572,-0.0131570159067493
47,0.3669234592445328,0.40641569459172855,-0.03949223534719576,-0.02997511078947407
48,0.39300518134715023,0.40362682481751827,-0.010621643470368036,-0.01203252174844153
49,0.4065326633165829,0.3918269230769231,0.014705740239659815,-0.00011892513856925301
50,0.40971528471528473,0.4301363193768257,-0.020421034661540993,-0.017140168914254635
51,0.41492571959145774,0.40462274176408075,0.010302977827376991,-0.004637632895880817
52,0.39875923970432947,0.432982740021575,-0.034223500317245525,-0.025404369363392857
53,0.40459280303030304,0.40240904621435597,0.002183756815947069,-0.008390797662873963
54,0.4025660569105691,0.41758494031221305,-0.015018883401643923,-0.01937813848828148
55,0.42533995815899583,0.3946840521564694,0.030655906002526434,0.009256847500692389
56,0.3954816285998014,0.42626903553299494,-0.03078740693319354,-0.02479119954383506
57,0.40834130019120457,0.4288038038038038,-0.020462503612599214,-0.023700129352045327
58,0.4006830601092896,0.41761612620508326,-0.016933066095793647,-0.017532906183859616
59,0.3928980526918671,0.4164651837524178,-0.023567131060550695,-0.013336401741996635
60,0.4075575313807531,0.4029441117764471,0.004613419604306002,-0.01149226025764147
61,0.3809464816650149,0.4037900874635568,-0.022843605798541944,-0.019437699984318466
62,0.4089632277834525,0.4163244353182752,-0.007361207534822667,-0.012333871501523314
63,0.3912128712871287,0.41461504028648166,-0.023402168999352935,-0.02336947231734495
64,0.39591584158415843,0.4196073558648111,-0.023691514280652692,-0.022522063298069366
65,0.4099949647532729,0.4107142857142857,-0.0007193209610127926,-0.0035981038942363955
66,0.41333333333333333,0.41935872709739636,-0.006025393764063025,-0.014545882488361401
67,0.3755630630630631,0.394916142557652,-0.01935307949458892,-0.02428175866859016
68,0.3958130477117819,0.40812841530054644,-0.012315367588764559,-0.014313337281174711
69,0.41364991482112434,0.41450159066808057,-0.0008516758469562236,-0.007079913260254416
70,0.43293610547667344,0.4219942748091603,0.010941830667513142,-0.009460925041188848
71,0.36733949416342415,0.4085487077534791,-0.04120921359005497,-0.04426930236641675
72,0.37169441723800195,0.39233753637245394,-0.020643119134451993,-0.019937437605097218
73,0.3770264505119454,0.3919021190716448,-0.014875668559699406,-0.024614200606104926
74,0.4094080846968239,0.403922542204568,0.005485542492255857,-0.009570022195521987
75,0.40148063781321186,0.400705186533212,0.0007754512799998392,-0.005613193920776879
76,0.3955785512699906,0.4076923076923077,-0.012113756422317101,-0.009725068431756937
77,0.402816573556797,0.4222375690607735,-0.019420995503976468,-0.022057700695536458
78,0.391287487073423,0.3871918542336549,0.004095632839768104,-0.0025763542574094456
79,0.4018957345971564,0.4064885496183206,-0.004592815021164209,-0.013821312163926864
