family,model,case,pairs,source_file,chi_square,difficulty_heterogeneity_p,logit_slope_per_abs_z,logit_slope_se,odds_ratio_per_plus1_abs_z,odds_ratio_ci_low,odds_ratio_ci_high,continuous_gap_p,continuous_gap_holm_all50,continuous_gap_holm_primary8
openai_standard_300,gpt-5.5,text_plus_image__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,0.24671052631578946,0.8839495720553439,-0.09726416108117243,0.176394625617468,0.9073162968197976,0.6421128099099592,1.2820533242285388,0.5813588614898664,1.0,
openai_standard_300,gpt-5.5,combined_labeled_image_only__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,1.4680971202710333,0.47996189668588496,0.18476610786181588,0.16862195573974034,1.2029370497028182,0.8643937780354275,1.674072144337453,0.2731918297827113,1.0,
openai_standard_300,gpt-5.5,combined_labeled_text_plus_image__low_mot256,300,results/openai_vlm_pilot_20260708_gpt55_fixed/gpt-5.5__pilot_raw.jsonl,1.9924098671726755,0.36927822063455945,-0.14396311952262963,0.1939559933875092,0.865919683001587,0.5920821533663644,1.2664068544312335,0.45793811765251435,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_256_raw.jsonl,0.5337286879169755,0.7657769466888329,-0.5682569157325243,0.3202215647207862,0.5665120568240499,0.3024377978316059,1.0611633626088932,0.07596822620968141,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_256_raw.jsonl,0.0,1.0,-0.12608178336272835,0.29144283927671955,0.8815427483048831,0.49792826829662223,1.5607019455782083,0.6652963864627954,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_high__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_4096_raw.jsonl,3.2507739938080493,0.19683548573901818,0.04083276252180185,0.23055169516911803,1.0416778833953353,0.6629602425486166,1.6367388918882462,0.8594228328637952,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_high__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_high__mot_4096_raw.jsonl,0.3885381253035454,0.8234363185002648,-0.009365258868527675,0.16437457416011733,0.9906784585867704,0.717822105760983,1.367252137306922,0.9545650250569631,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_256_raw.jsonl,4.7368421052631575,0.09362844401338878,0.3188691413824256,0.35242667298978997,1.37557130776819,0.6894407999203087,2.7445379254807722,0.3655811430041447,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_256_raw.jsonl,0.11680726800778715,0.943269135089817,-0.2167893871137774,0.35799587478477984,0.8050995157827536,0.3991378598715166,1.623963285573252,0.5448043636537727,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_4096_raw.jsonl,2.6100852272727275,0.2711609796440099,-0.08300322033436863,0.2179261111005637,0.9203481833864664,0.6004171896022921,1.4107537114715796,0.703293917376467,1.0,
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_4096_raw.jsonl,0.91324200913242,0.6334203580003875,-0.0022032769996763913,0.16771494619335833,0.9977991484334648,0.7182636827317803,1.3861248515697733,0.98951846465015,1.0,
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_image_only__promptB__seed42__mnt256.jsonl,4.646260997067449,0.09796642132823258,-0.45259466993007846,0.15854245311631843,0.6359758615308737,0.4661106773289028,0.8677451861171015,0.004307448018464883,0.18952771281245484,
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_image_only__promptB__seed42__mnt64.jsonl,4.646260997067449,0.09796642132823258,-0.45259466993007846,0.15854245311631843,0.6359758615308737,0.4661106773289028,0.8677451861171015,0.004307448018464883,0.18952771281245484,
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_text_plus_image__promptB__seed42__mnt256.jsonl,0.09191176470588236,0.9550840973243736,-0.08010405670995831,0.16679686492718787,0.9230202949342078,0.6656309409845113,1.2799381945801955,0.6310502242663917,1.0,
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_text_plus_image__promptB__seed42__mnt64.jsonl,0.09191176470588236,0.9550840973243736,-0.08010405670995831,0.16679686492718787,0.9230202949342078,0.6656309409845113,1.2799381945801955,0.6310502242663917,1.0,
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__image_only__promptB__seed42__mnt256.jsonl,0.5656565656565657,0.753649191256596,-0.1645459166587552,0.1537471478393228,0.8482788059216351,0.6275795838599602,1.1465907290196418,0.28451255486014315,1.0,
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__image_only__promptB__seed42__mnt64.jsonl,0.5656565656565657,0.753649191256596,-0.1645459166587552,0.1537471478393228,0.8482788059216351,0.6275795838599602,1.1465907290196418,0.28451255486014315,1.0,
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__text_plus_image__promptB__seed42__mnt256.jsonl,4.759592034968431,0.09256945813557439,-0.4724724981220056,0.19626813525268053,0.6234588601712207,0.4243694008922095,0.9159495230070284,0.01607181058296335,0.6750160444844607,
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__text_plus_image__promptB__seed42__mnt64.jsonl,4.759592034968431,0.09256945813557439,-0.4724724981220056,0.19626813525268053,0.6234588601712207,0.4243694008922095,0.9159495230070284,0.01607181058296335,0.6750160444844607,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_image_only__promptB__seed42__mnt256.jsonl,8.987066091826303,0.011181070707791448,-0.5268900992318436,0.16518880936778457,0.5904383220200237,0.427135401604893,0.8161754113565558,0.0014245828229864947,0.06837997550335174,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_image_only__promptB__seed42__mnt64.jsonl,8.987066091826303,0.011181070707791448,-0.5268900992318436,0.16518880936778457,0.5904383220200237,0.427135401604893,0.8161754113565558,0.0014245828229864947,0.06837997550335174,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_text_plus_image__promptB__seed42__mnt256.jsonl,9.910888937187568,0.007044948325380176,-0.6778498744515363,0.21486510623101046,0.5077074543991956,0.33321153708005274,0.7735832363769081,0.0016062497609568235,0.07388748900401389,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_text_plus_image__promptB__seed42__mnt64.jsonl,9.910888937187568,0.007044948325380176,-0.6778498744515363,0.21486510623101046,0.5077074543991956,0.33321153708005274,0.7735832363769081,0.0016062497609568235,0.07388748900401389,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__image_only__promptB__seed42__mnt256.jsonl,2.304999027426571,0.31584631971328186,-0.27796682566371833,0.17045873804528955,0.7573219447504785,0.5422328197275635,1.0577311205338167,0.1029539319344816,1.0,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__image_only__promptB__seed42__mnt64.jsonl,2.304999027426571,0.31584631971328186,-0.27796682566371833,0.17045873804528955,0.7573219447504785,0.5422328197275635,1.0577311205338167,0.1029539319344816,1.0,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__text_plus_image__promptB__seed42__mnt256.jsonl,1.1439817946983208,0.5644006556380778,-0.2559895478550779,0.1958875645698887,0.7741500602785831,0.5273334914760484,1.1364882479810305,0.19127426596204533,1.0,
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__text_plus_image__promptB__seed42__mnt64.jsonl,1.1439817946983208,0.5644006556380778,-0.2559895478550779,0.1958875645698887,0.7741500602785831,0.5273334914760484,1.1364882479810305,0.19127426596204533,1.0,
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,source_text,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/source_text_llm.jsonl,3.9317716002338163,0.14003179148492065,0.01920754095320222,0.05000005584573837,1.0193931924994983,0.9242332836443566,1.1243508530841737,0.7008669855018909,1.0,
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_easyocr.jsonl,4.010984682114604,0.1345940132212772,0.10624463241660427,0.051441895751178135,1.112093897450228,1.005435086228421,1.2300673148232117,0.038891526118991875,1.0,
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_rapidocr,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_rapidocr.jsonl,1.064425770308123,0.587303894575169,0.020505199778760738,0.049114005198383034,1.0207168757313259,0.92704193089151,1.1238574067526683,0.676311196502513,1.0,
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr_preprocessed,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_easyocr_preprocessed.jsonl,9.586022960071123,0.008287462237550239,0.18144246212802168,0.05264357853698468,1.1989455499494952,1.0814069709566208,1.329259446581984,0.0005676443501443728,0.02838221750721864,
protocol_sanity_300,Qwen2.5-VL-7B,forced_single_char_source,300,experiments/rq0_viability/outputs/strong_vlm_sanity/qwen7b_forced_source_raw.jsonl,1.3303167420814481,0.5141920881218385,-0.19465528039910512,0.15825469517347696,0.8231183541859449,0.6036089144923569,1.1224549683259488,0.2186923597542828,1.0,
protocol_sanity_300,Qwen2.5-VL-32B,single_char_source,300,experiments/rq0_viability/outputs/strong_vlm_sanity/qwen32b_parse_fixed_source_raw.jsonl,0.8899521531100478,0.6408396069400091,-0.266234051949636,0.16794026008839502,0.766259761920201,0.5513469948751635,1.0649446323198823,0.11290040996353276,1.0,
