model,language,condition,n_pairs,median_abs_b,median_abs_c,strict_valid_rate,boundary_rate
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,1000,0.5,0.6875,0.627,0.084
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,1000,0.53125,0.75,0.641,0.073
Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1000,0.375,0.6875,0.703,0.066
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1000,0.8125,0.625,0.472,0.067
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1000,0.75,0.625,0.494,0.06
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1000,0.75,0.6875,0.476,0.052
Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1000,0.5625,0.65625,0.597,0.077
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1000,0.8125,0.6875,0.461,0.076
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1000,0.75,0.625,0.5,0.079
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,1000,0.875,0.6875,0.46,0.058
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,1000,0.5625,0.625,0.589,0.083
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,1000,0.6875,0.6875,0.523,0.077
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,1000,0.6875,0.625,0.514,0.075
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,1000,0.6875,0.6875,0.528,0.064
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,1000,0.4375,0.625,0.635,0.082
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,1000,1.0,0.6875,0.412,0.057
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap80__lnon,1000,0.9375,0.6875,0.424,0.068
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap60__lnon,1000,1.0,0.6875,0.422,0.068
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap80__lnon,1000,0.75,0.6875,0.51,0.08
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap60__lnon,1000,1.0,0.6875,0.426,0.07
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap80__lnon,1000,0.9375,0.6875,0.429,0.072
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap60__lnon,1000,1.0,0.6875,0.394,0.068
Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap80__lnon,1000,0.75,0.6875,0.503,0.081
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap60__lnon,1000,0.875,0.6875,0.471,0.067
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,1000,0.875,0.625,0.43,0.063
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap60__lnon,1000,0.875,0.6875,0.433,0.062
Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap80__lnon,1000,0.625,0.6875,0.556,0.088
