condition,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,input_tokens,output_tokens,reasoning_tokens,mean_latency_sec,estimated_cost_usd,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy
image_only,gpt-5.4-2026-03-05,300,266,169,0.5633333333333334,0.6353383458646616,0.11333333333333329,0.0,0.0,0.0,612114,184544,177944,4.43928597792983,4.298445,100,0.67,0.788235294117647,100,0.52,0.5591397849462365,100,0.5,0.5681818181818182
text_plus_image,gpt-5.4-2026-03-05,300,213,148,0.49333333333333335,0.6948356807511737,0.29000000000000004,0.0,0.0,0.0,758688,140673,134073,4.537626993736873,4.006815,100,0.58,0.8169014084507042,100,0.46,0.6301369863013698,100,0.44,0.6376811594202898
