condition,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,input_tokens,output_tokens,reasoning_tokens,mean_latency_sec,estimated_cost_usd,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy
image_only,gpt-5.4-2026-03-05,90,76,45,0.5,0.5921052631578947,0.15555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,173540,12530,10561,2.0458526723604233,0.6218,30,0.5,0.6818181818181818,30,0.4666666666666667,0.5384615384615384,30,0.5333333333333333,0.5714285714285714
text_plus_image,gpt-5.4-2026-03-05,90,67,44,0.4888888888888889,0.6567164179104478,0.25555555555555554,0.0,0.0,0.0,216010,11452,9472,2.4090733407479195,0.711805,30,0.5666666666666667,0.7391304347826086,30,0.43333333333333335,0.5909090909090909,30,0.4666666666666667,0.6363636363636364
