reasoning_effort,max_output_tokens,condition,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,spearman_valid_only,input_tokens,output_tokens,reasoning_tokens,mean_output_tokens_per_call,mean_reasoning_tokens_per_call,p95_reasoning_tokens_per_call,max_reasoning_tokens_per_call,mean_latency_sec,p95_latency_sec,estimated_cost_usd
high,256,image_only,90,19,14,0.7368421052631579,0.15555555555555556,0.7888888888888889,0.5888888888888889,0.6,0.5666666666666667,0.13176156917368248,173540,41620,40767,231.22222222222223,226.48333333333332,256.0,256.0,3.2308618300180467,4.733305721729994,1.05815
high,256,text_plus_image,90,48,35,0.7291666666666666,0.3888888888888889,0.4666666666666667,0.2,0.2,0.18888888888888888,0.5002048003476395,216010,28390,26788,157.72222222222223,148.82222222222222,256.0,256.0,3.048006399607079,4.829562853090464,0.965875
high,4096,image_only,90,79,51,0.6455696202531646,0.5666666666666667,0.12222222222222222,0.0,0.0,0.0,0.34057729541975723,173540,61729,59749,342.93888888888887,331.93888888888887,972.4999999999998,1273.0,5.42057101219996,10.306529665924609,1.359785
high,4096,text_plus_image,90,72,53,0.7361111111111112,0.5888888888888889,0.2,0.0,0.0,0.0,0.5082006191640194,216010,35936,33956,199.64444444444445,188.64444444444445,457.15,951.0,4.084944103052839,15.668533960077912,1.079065
low,256,image_only,90,76,45,0.5921052631578947,0.5,0.15555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.23871954070551596,173540,12530,10561,69.61111111111111,58.672222222222224,130.24999999999991,256.0,2.0458526723604233,3.447184748481959,0.6218
low,256,text_plus_image,90,67,44,0.6567164179104478,0.4888888888888889,0.25555555555555554,0.0,0.0,0.0,0.39109678957140964,216010,11452,9472,63.62222222222222,52.62222222222222,101.04999999999998,177.0,2.4090733407479195,3.164164410578084,0.711805
low,4096,image_only,90,71,41,0.5774647887323944,0.45555555555555555,0.2111111111111111,0.0,0.0,0.0,0.1723976119381473,173540,12986,11006,72.14444444444445,61.144444444444446,121.19999999999993,255.0,2.0960306962020696,3.0896128084044894,0.62864
low,4096,text_plus_image,90,71,47,0.6619718309859155,0.5222222222222223,0.2111111111111111,0.0,0.0,0.0,0.40895062010245486,216010,12272,10292,68.17777777777778,57.17777777777778,112.04999999999998,208.0,2.6001946825120186,4.356540087703594,0.724105
