reasoning_effort,condition,pairs,valid_pairs,correct_pairs,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,spearman_valid_only,input_tokens,output_tokens,reasoning_tokens,mean_output_tokens_per_call,mean_reasoning_tokens_per_call,p95_reasoning_tokens_per_call,max_reasoning_tokens_per_call,mean_latency_sec,p95_latency_sec,estimated_cost_usd
low,image_only,300,256,156,0.609375,0.52,0.14666666666666667,0.0,0.0,0.0,0.29674766476832815,612114,41714,35114,69.52333333333333,58.52333333333333,124.0,278.0,2.1263500189688056,3.3863536278251556,2.155995
low,text_plus_image,300,219,145,0.6621004566210046,0.48333333333333334,0.27,0.0,0.0,0.0,0.34164625242927377,758688,39928,33334,66.54666666666667,55.556666666666665,107.14999999999986,208.0,2.822189054332363,7.9050930107942206,2.49564
high,image_only,300,266,169,0.6353383458646616,0.5633333333333334,0.11333333333333333,0.0,0.0,0.0,0.3285713682726102,612114,184544,177944,307.5733333333333,296.5733333333333,759.3499999999988,1482.0,4.43928597792983,9.437730937218292,4.298445
high,text_plus_image,300,213,148,0.6948356807511737,0.49333333333333335,0.29,0.0,0.0,0.0,0.41005114377583096,758688,140673,134073,234.455,223.455,632.2999999999997,1663.0,4.537626993736873,15.677576268417761,4.006815
