condition,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,input_tokens,output_tokens,reasoning_tokens,mean_latency_sec,estimated_cost_usd,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy
image_only,gpt-5.4-2026-03-05,300,256,156,0.52,0.609375,0.1466666666666666,0.0,0.0,0.0,612114,41714,35114,2.1263500189688056,2.155995,100,0.65,0.7831325301204819,100,0.46,0.5111111111111111,100,0.45,0.5421686746987951
text_plus_image,gpt-5.4-2026-03-05,300,219,145,0.48333333333333334,0.6621004566210046,0.27,0.0,0.0,0.0,758688,39928,33334,2.822189054332363,2.49564,100,0.57,0.7808219178082192,100,0.42,0.6,100,0.46,0.6052631578947368
