condition,outcome,low_value,high_value,delta_high_minus_low,bootstrap_mean_delta,ci_low,ci_high,low_only,high_only,paired_exact_p,holm_p
image_only,effective_accuracy,0.52,0.5633333333333334,0.043333333333333335,0.04321333333333333,0.00666666666666671,0.07999999999999996,9.0,22.0,0.029449373483657837,0.11779749393463135
image_only,strict_swap_error,0.14666666666666667,0.11333333333333333,-0.03333333333333334,-0.033432333333333335,-0.07666666666666666,0.009999999999999995,26.0,16.0,0.16414940178310644,0.4924482053493193
image_only,valid_accuracy,0.609375,0.6353383458646616,0.025963345864661647,0.025743718963550207,-0.004946366188259743,0.057108441181038,,,,
image_only,spearman_valid_only,0.29674766476832815,0.3285713682726102,0.03182370350428204,0.03138802403075496,-0.029155273981071577,0.09551107471559593,,,,
text_plus_image,effective_accuracy,0.48333333333333334,0.49333333333333335,0.010000000000000009,0.010131333333333332,-0.030000000000000027,0.050000000000000044,19.0,22.0,0.755228657504631,1.0
text_plus_image,strict_swap_error,0.27,0.29,0.019999999999999962,0.01979733333333333,-0.030000000000000027,0.07,28.0,34.0,0.52577336017565,1.0
text_plus_image,valid_accuracy,0.6621004566210046,0.6948356807511737,0.03273522413016916,0.032719966872056465,-0.009307703220315005,0.07508437594027746,,,,
text_plus_image,spearman_valid_only,0.34164625242927377,0.41005114377583096,0.0684048913465572,0.06817091965320772,-0.011211414608715166,0.1492156803669015,,,,
