condition,model,num_pairs,valid_pairs,correct_pairs,effective_accuracy,valid_accuracy,strict_swap_error,parse_failure_rate,incomplete_rate,empty_output_rate,input_tokens,output_tokens,reasoning_tokens,mean_latency_sec,estimated_cost_usd,easy_n,easy_effective_accuracy,easy_valid_accuracy,medium_n,medium_effective_accuracy,medium_valid_accuracy,hard_n,hard_effective_accuracy,hard_valid_accuracy
image_only,gpt-5.4-2026-03-05,90,19,14,0.15555555555555556,0.7368421052631579,0.7888888888888889,0.5888888888888889,0.6,0.5666666666666667,173540,41620,40767,3.2308618300180467,1.05815,30,0.16666666666666666,0.7142857142857143,30,0.16666666666666666,0.7142857142857143,30,0.13333333333333333,0.8
text_plus_image,gpt-5.4-2026-03-05,90,48,35,0.3888888888888889,0.7291666666666666,0.4666666666666667,0.2,0.2,0.18888888888888888,216010,28390,26788,3.048006399607079,0.965875,30,0.4666666666666667,0.875,30,0.3,0.5625,30,0.4,0.75
